Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
i-Mask Advance Squash Club 14,The Zero Squash Club 4,Cornwall Street (CSPSC),1,13/10/2017,3-2,"['3-0', '3-0', '3-0', '0-3', '0-3']",3,2,9,6
Fung King 4,Dragonfly,Tai Wo Hau (TWHSC),1,13/10/2017,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
Vitality Squash 2,Kinetic 7,HK Squash Centre (HKSC),1,13/10/2017,1-4,"['1-3', '3-1', '0-3', '0-3', '0-3']",1,4,4,13
Citra Squash Team,Dr. Squash 3,Kwun Chung (KCSC),1,13/10/2017,4-1,"['3-0', '3-0', '3-0', '3-0', 'WO']",4,1,15,0
Friend Club 9,CPS,Pei Ho Street (PHSSC),1,13/10/2017,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2
The Zero Squash Club 4,Dr. Squash 3,Tsing Yi (TYSC),2,20/10/2017,4-1,"['3-0', '0-3', '3-0', '3-0', '3-0']",4,1,12,3
Citra Squash Team,CPS,Kwun Chung (KCSC),2,20/10/2017,4-1,"['3-0', '3-0', '3-0', '3-0', 'WO']",4,1,15,0
i-Mask Advance Squash Club 14,Fung King 4,Cornwall Street (CSPSC),2,20/10/2017,3-2,"['3-0', '3-1', '0-3', '3-0', '0-3']",3,2,9,7
Vitality Squash 2,Friend Club 9,HK Squash Centre (HKSC),2,20/10/2017,2-3,"['3-0', '0-3', '3-0', '0-3', '0-3']",2,3,6,9
Dragonfly,Kinetic 7,Wai Tsuen (WTSC),2,20/10/2017,4-1,"['3-2', '2-3', '3-1', '3-0', '3-0']",4,1,14,6
Citra Squash Team,Vitality Squash 2,Kwun Chung (KCSC),3,27/10/2017,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
Fung King 4,The Zero Squash Club 4,Tai Wo Hau (TWHSC),3,27/10/2017,2-3,"['3-0', '0-3', '3-0', '1-3', '0-3']",2,3,7,9
Dr. Squash 3,CPS,HK Squash Centre (HKSC),3,27/10/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-2']",5,0,15,2
i-Mask Advance Squash Club 14,Kinetic 7,Cornwall Street (CSPSC),3,27/10/2017,3-2,"['0-3', '3-0', '3-1', '1-3', '3-0']",3,2,10,7
Friend Club 9,Dragonfly,Pei Ho Street (PHSSC),3,27/10/2017,1-4,"['0-3', '3-1', '0-3', '0-3', 'CR']",1,4,3,13
The Zero Squash Club 4,CPS,Cornwall Street (CSPSC),4,03/11/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
i-Mask Advance Squash Club 14,Friend Club 9,Cornwall Street (CSPSC),4,03/11/2017,5-0,"['3-0', '3-0', '3-0', 'WO', 'WO']",5,0,15,0
Vitality Squash 2,Dr. Squash 3,HK Squash Centre (HKSC),4,03/11/2017,2-3,"['3-2', '2-3', '0-3', '0-3', '3-0']",2,3,8,11
Kinetic 7,Fung King 4,Kwun Chung (KCSC),4,03/11/2017,5-0,"['3-0', '3-1', '3-1', '3-0', '3-0']",5,0,15,2
Dragonfly,Citra Squash Team,Wai Tsuen (WTSC),4,03/11/2017,4-1,"['3-2', '1-3', '3-2', '3-1', 'WO']",4,1,13,8
Kinetic 7,The Zero Squash Club 4,Kwun Chung (KCSC),5,10/11/2017,2-3,"['3-1', '1-3', '0-3', '0-3', '3-2']",2,3,7,12
Dr. Squash 3,Dragonfly,HK Squash Centre (HKSC),5,10/11/2017,0-5,"['0-3', '2-3', '0-3', '1-3', '0-3']",0,5,3,15
CPS,Vitality Squash 2,Cornwall Street (CSPSC),5,10/11/2017,3-2,"['0-3', '0-3', '3-0', '3-0', '3-0']",3,2,9,6
Citra Squash Team,i-Mask Advance Squash Club 14,Kwun Chung (KCSC),5,10/11/2017,1-4,"['1-3', '1-3', '3-1', 'WO', 'WO']",1,4,5,13
Fung King 4,Friend Club 9,Cheung Fat (CFSC),5,10/11/2017,4-1,"['3-0', '1-3', '3-0', '3-0', '3-0']",4,1,13,3
The Zero Squash Club 4,Vitality Squash 2,Cornwall Street (CSPSC),6,24/11/2017,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3
i-Mask Advance Squash Club 14,Dr. Squash 3,Cornwall Street (CSPSC),6,24/11/2017,5-0,"['3-1', '3-0', '3-0', '3-1', '3-0']",5,0,15,2
Dragonfly,CPS,Wai Tsuen (WTSC),6,24/11/2017,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1
Friend Club 9,Kinetic 7,Pei Ho Street (PHSSC),6,24/11/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Citra Squash Team,Fung King 4,Kwun Chung (KCSC),6,24/11/2017,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
CPS,i-Mask Advance Squash Club 14,Cornwall Street (CSPSC),7,01/12/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Dr. Squash 3,Fung King 4,HK Squash Centre (HKSC),7,01/12/2017,2-3,"['0-3', '3-2', '3-0', '1-3', '0-3']",2,3,7,11
Dragonfly,Vitality Squash 2,Wai Tsuen (WTSC),7,01/12/2017,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
