Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Hong Kong Cricket Club Rockettes,Polladies,Hong Kong Cricket Club (HKCC),1,13/10/2017,2-2,"['0-3', '3-0', '2-3', 'WO']",2,2,5,9
Hong Kong Football Club L3C,Perrier Ladies,Hong Kong Football Club (HKFC),1,13/10/2017,1-3,"['3-0', '1-3', '0-3', '0-3']",1,3,4,9
Hong Kong Football Club L3A,Hong Kong Football Club L3B,Hong Kong Football Club (HKFC),1,13/10/2017,0-4,"['1-3', '1-3', '0-3', '0-3']",0,4,2,12
Les Femmes Du Squash,Perrier Ladies,HK Squash Centre (HKSC),2,20/10/2017,2-2,"['3-0', '0-3', '0-3', '3-0']",2,2,6,6
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3B,Hong Kong Cricket Club (HKCC),2,20/10/2017,1-3,"['0-3', '3-2', '0-3', '0-3']",1,3,3,11
Hong Kong Football Club L3C,Hong Kong Football Club L3A,Hong Kong Football Club (HKFC),2,20/10/2017,3-1,"['3-0', '3-1', '2-3', '3-1']",3,1,11,5
Perrier Ladies,Hong Kong Cricket Club Rockettes,HK Squash Centre (HKSC),3,27/10/2017,2-2,"['3-1', '0-3', '3-1', '0-3']",2,2,6,8
Hong Kong Football Club L3B,Hong Kong Football Club L3C,Hong Kong Football Club (HKFC),3,27/10/2017,3-1,"['3-1', '3-0', '0-3', '3-1']",3,1,9,5
Polladies,Les Femmes Du Squash,Police Sports & Recreation Club (PSRC),3,27/10/2017,2-2,"['3-0', '0-3', '2-3', '3-0']",2,2,8,6
Polladies,Perrier Ladies,Police Sports & Recreation Club (PSRC),4,03/11/2017,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L3B,Les Femmes Du Squash,Hong Kong Football Club (HKFC),4,03/11/2017,2-2,"['1-3', '3-1', '3-0', '2-3']",2,2,9,7
