Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club L2C,v,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),19:00,"2-2(3-0,0-3,0-3,3-0)",1,10/10/2017
Hong Kong Football Club L2A,v,Giant 2,Hong Kong Football Club (HKFC),19:00,"1-3(3-1,2-3,0-3,0-3)",1,10/10/2017
Hong Kong Cricket Club L2,v,[Withdraw] Hong Kong Cricket Club L2B,Hong Kong Cricket Club (HKCC),19:00,,1,10/10/2017
Perrier Serigo Tacchini KCC L2,v,[BYE],,,,1,10/10/2017
Hong Kong Cricket Club L2,v,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),19:00,"3-1(3-0,3-0,3-0,1-3)",2,17/10/2017
Hong Kong Football Club L2A,v,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),19:00,"0-4(0-3,0-3,0-3,0-3)",2,17/10/2017
Giant 2,v,Perrier Serigo Tacchini KCC L2,Pei Ho Street (PHSSC),19:00,"4-0(3-1,3-0,3-0,WO)",2,17/10/2017
[Withdraw] Hong Kong Cricket Club L2B,v,[BYE],,,,2,17/10/2017
Perrier Serigo Tacchini KCC L2,v,[Withdraw] Hong Kong Cricket Club L2B,Kowloon Cricket Club (KCC),19:00,,3,24/10/2017
Giant 2,v,Hong Kong Cricket Club L2,Pei Ho Street (PHSSC),19:00,"2-2(0-3,0-3,3-0,3-0)",3,24/10/2017
Hong Kong Football Club L2C,v,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),19:00,"0-4(0-3,2-3,1-3,1-3)",3,24/10/2017
Hong Kong Football Club L2B,v,[BYE],,,,3,24/10/2017
[Withdraw] Hong Kong Cricket Club L2B,v,Giant 2,Hong Kong Cricket Club (HKCC),19:00,,4,31/10/2017
Hong Kong Football Club L2B,v,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),19:00,"2-2(3-0,1-3,0-3,3-2)",4,31/10/2017
Perrier Serigo Tacchini KCC L2,v,Hong Kong Football Club L2C,Kowloon Cricket Club (KCC),19:00,"2-2(2-3,3-0,0-3,3-1)",4,31/10/2017
Hong Kong Football Club L2A,v,[BYE],,,,4,31/10/2017
Giant 2,v,Hong Kong Football Club L2B,Pei Ho Street (PHSSC),19:00,"4-0(3-2,3-0,3-0,3-0)",5,07/11/2017
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),19:00,,5,07/11/2017
Perrier Serigo Tacchini KCC L2,v,Hong Kong Cricket Club L2,Kowloon Cricket Club (KCC),19:00,"0-4(0-3,0-3,0-3,0-3)",5,07/11/2017
Hong Kong Football Club L2C,v,[BYE],,,,5,07/11/2017
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2B,Hong Kong Cricket Club (HKCC),19:00,,6,21/11/2017
Giant 2,v,Hong Kong Football Club L2C,Pei Ho Street (PHSSC),19:00,"4-0(3-1,3-0,3-0,3-0)",6,21/11/2017
Hong Kong Football Club L2A,v,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),19:00,"4-0(3-0,3-0,3-0,3-0)",6,21/11/2017
Hong Kong Cricket Club L2,v,[BYE],,,,6,21/11/2017
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),19:00,,7,28/11/2017
Hong Kong Football Club L2A,v,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),19:00,"0-4(0-3,0-3,2-3,1-3)",7,28/11/2017
Perrier Serigo Tacchini KCC L2,v,Hong Kong Football Club L2B,Kowloon Cricket Club (KCC),19:00,"3-1(1-3,3-0,3-0,3-1)",7,28/11/2017
Giant 2,v,[BYE],,,,7,28/11/2017
Giant 2,v,Hong Kong Football Club L2A,Pei Ho Street (PHSSC),19:00,"4-0(3-0,3-0,3-0,3-0)",8,05/12/2017
[Withdraw] Hong Kong Cricket Club L2B,v,Hong Kong Cricket Club L2,Hong Kong Cricket Club (HKCC),19:00,,8,05/12/2017
Hong Kong Football Club L2B,v,Hong Kong Football Club L2C,Hong Kong Football Club (HKFC),19:00,"1-3(3-2,0-3,0-3,0-3)",8,05/12/2017
Perrier Serigo Tacchini KCC L2,v,[BYE],,,,8,05/12/2017
Hong Kong Football Club L2B,v,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),19:00,"2-2(1-3,3-0,0-3,3-0)",9,12/12/2017
Perrier Serigo Tacchini KCC L2,v,Giant 2,Kowloon Cricket Club (KCC),19:00,"0-4(1-3,0-3,0-3,WO)",9,12/12/2017
Hong Kong Football Club L2C,v,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),19:00,"1-3(3-2,0-3,0-3,0-3)",9,12/12/2017
[Withdraw] Hong Kong Cricket Club L2B,v,[BYE],,,,9,12/12/2017
Hong Kong Cricket Club L2,v,Giant 2,Hong Kong Cricket Club (HKCC),19:00,"4-0(3-0,3-2,3-0,CR)",10,02/01/2018
Hong Kong Football Club L2A,v,Hong Kong Football Club L2C,Hong Kong Football Club (HKFC),19:00,"1-3(2-3,0-3,0-3,3-0)",10,02/01/2018
[Withdraw] Hong Kong Cricket Club L2B,v,Perrier Serigo Tacchini KCC L2,Hong Kong Cricket Club (HKCC),19:00,,10,02/01/2018
Hong Kong Football Club L2B,v,[BYE],,,,10,02/01/2018
Hong Kong Cricket Club L2,v,Hong Kong Football Club L2B,Hong Kong Cricket Club (HKCC),19:00,"2-2(1-3,3-0,3-0,1-3)",11,09/01/2018
Giant 2,v,[Withdraw] Hong Kong Cricket Club L2B,Pei Ho Street (PHSSC),19:00,,11,09/01/2018
Hong Kong Football Club L2C,v,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),19:00,"2-2(3-2,0-3,3-0,1-3)",11,09/01/2018
Hong Kong Football Club L2A,v,[BYE],,,,11,09/01/2018
Hong Kong Football Club L2A,v,[Withdraw] Hong Kong Cricket Club L2B,Hong Kong Football Club (HKFC),19:00,,12,16/01/2018
Hong Kong Football Club L2B,v,Giant 2,Hong Kong Football Club (HKFC),19:00,"1-3(0-3,0-3,0-3,3-0)",12,16/01/2018
Hong Kong Cricket Club L2,v,Perrier Serigo Tacchini KCC L2,Hong Kong Cricket Club (HKCC),19:00,"3-1(3-0,1-3,3-0,3-0)",12,16/01/2018
Hong Kong Football Club L2C,v,[BYE],,,,12,16/01/2018
