Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club M1A,v,Hong Kong Football Club M1B,Hong Kong Football Club (HKFC),18:30,"2-2(1-3,3-2,1-3,3-1)",1,11/10/2017
Clearwater Bay,v,HK Club Gold,Clear Water Bay Club (CWBC),18:30,"2-2(2-3,1-3,3-0,3-2)",1,11/10/2017
Hong Kong Cricket Club M1,v,[BYE],,,,1,11/10/2017
Hong Kong Football Club M1B,v,Clearwater Bay,Hong Kong Football Club (HKFC),18:30,"3-1(3-0,3-1,1-3,3-0)",2,18/10/2017
HK Club Gold,v,Hong Kong Cricket Club M1,HK CLUB,18:30,"3-1(0-3,3-2,3-2,3-0)",2,18/10/2017
Hong Kong Football Club M1A,v,[BYE],,,,2,18/10/2017
HK Club Gold,v,Hong Kong Football Club M1A,HK CLUB,18:30,"2-2(2-3,3-2,3-0,1-3)",3,25/10/2017
Clearwater Bay,v,Hong Kong Cricket Club M1,Clear Water Bay Club (CWBC),18:30,"0-4(0-3,0-3,0-3,1-3)",3,25/10/2017
Hong Kong Football Club M1B,v,[BYE],,,,3,25/10/2017
Hong Kong Football Club M1B,v,HK Club Gold,Hong Kong Football Club (HKFC),18:30,"1-3(3-1,2-3,1-3,0-3)",4,01/11/2017
Hong Kong Cricket Club M1,v,Hong Kong Football Club M1A,Hong Kong Cricket Club (HKCC),18:30,"4-0(3-0,3-2,3-0,3-0)",4,01/11/2017
Clearwater Bay,v,[BYE],,,,4,01/11/2017
Hong Kong Football Club M1A,v,Clearwater Bay,Hong Kong Football Club (HKFC),18:30,"4-0(3-0,3-0,3-0,3-1)",5,08/11/2017
Hong Kong Football Club M1B,v,Hong Kong Cricket Club M1,Hong Kong Football Club (HKFC),18:30,"1-3(0-3,0-3,0-3,3-2)",5,08/11/2017
HK Club Gold,v,[BYE],,,,5,08/11/2017
HK Club Gold,v,Clearwater Bay,HK CLUB,18:30,"3-1(3-2,3-0,2-3,CR)",6,22/11/2017
Hong Kong Football Club M1B,v,Hong Kong Football Club M1A,Hong Kong Football Club (HKFC),18:30,"1-3(0-3,3-2,0-3,1-3)",6,22/11/2017
Hong Kong Cricket Club M1,v,[BYE],,,,6,22/11/2017
