Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Dragonfly,87.5,68.75,80.0,93.33333333333333,72.72727272727273,80.46212121212122,73
Kinetic 7,88.88888888888889,72.22222222222221,72.22222222222221,81.25,75.0,77.91666666666666,86
i-Mask Advance Squash Club 14,70.58823529411765,88.23529411764706,76.47058823529412,71.42857142857143,76.92307692307693,76.72915319974143,78
Citra Squash Team,64.28571428571429,78.57142857142857,78.57142857142857,62.5,40.0,64.78571428571429,55
The Zero Squash Club 4,35.294117647058826,47.05882352941176,56.25,68.75,81.25,57.72058823529412,82
Fung King 4,52.94117647058824,35.294117647058826,41.17647058823529,50.0,40.0,43.88235294117648,82
Dr. Squash 3,22.22222222222222,44.44444444444444,41.17647058823529,31.25,33.33333333333333,34.48529411764705,81
Vitality Squash 2,76.92307692307693,38.46153846153847,16.666666666666664,7.6923076923076925,20.0,31.94871794871795,61
Friend Club 9,5.88235294117647,29.411764705882355,29.411764705882355,21.428571428571427,23.076923076923077,21.84227537168714,78
CPS,5.88235294117647,0.0,5.88235294117647,12.5,20.0,8.852941176470589,82
