Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
The Squash Club 1,100.0,72.22222222222221,61.111111111111114,75.0,69.23076923076923,75.51282051282053,83
Kinetic 2,72.22222222222221,66.66666666666666,68.75,81.25,73.33333333333333,72.44444444444443,83
United Services Recreation Club 3,61.111111111111114,55.55555555555556,66.66666666666666,70.58823529411765,81.25,67.0343137254902,87
i-Mask Advance Squash Club 4,44.44444444444444,50.0,52.94117647058824,68.75,76.92307692307693,58.61173956762193,82
Fung King 2,72.22222222222221,50.0,77.77777777777779,29.411764705882355,40.0,53.882352941176464,86
Yuen Long Jr 1,50.0,33.33333333333333,52.94117647058824,56.25,50.0,48.504901960784316,85
Friend Club 3,22.22222222222222,44.44444444444444,37.5,46.15384615384615,42.857142857142854,38.63553113553114,72
Neptune,44.44444444444444,55.55555555555556,33.33333333333333,5.555555555555555,13.333333333333334,30.44444444444444,87
Tomcat,22.22222222222222,50.0,17.647058823529413,37.5,18.75,29.22385620915033,85
That's 4,11.11111111111111,22.22222222222222,29.411764705882355,30.76923076923077,33.33333333333333,25.369532428355956,78
