Team,Most Games,Most Wins,Highest Win Percentage
Discovery Bay,Corbin Steve (16),Thomsen Flemming (6),"Hace Mike, Thomsen Flemming (60.0%)"
Friend Club 4,Chan Siu Kwan (20),Chan Siu Kwan (14),Choi Kenny Wing Kin (81.2%)
Head Sha Tin 3,"Yiu Wai Kit, Cheung Ringo Hon Lam (18)",Chan Tsz Ching (15),Chan Tsz Ching (93.8%)
Hong Kong Cricket Club 4,Lamb Russell (16),"Chan Peter Sun Hong, Liang Xin (9)",Man Wing Ping Wilson (80.0%)
Hong Kong Football Club 8A,Ragless Julian (17),"Williams Joshua, ^ Rhodes Thomas (14)",Barton Jonathan (100.0%)
Hong Kong Football Club 8B,Wasyliw Bob (18),Wasyliw Bob (9),Fan William Ying Wai (100.0%)
Hong Kong Football Club 8C,^ West Steven (16),^ West Steven (11),^ West Steven (68.8%)
Perrier Sergio Tacchini KCC 6,"Tong Sze Chai, Li Pinky Wing Shan (18)",Li Pinky Wing Shan (18),Li Pinky Wing Shan (100.0%)
Star River 1,Li Shun Yiu (18),Li Shun Yiu (8),Kan Wai Ho (50.0%)
Target,"Chan Raymond Tsan Fai, Hui Tat Shing (19)",Lee Tommy Yun Wah (3),Lee Tommy Yun Wah (16.7%)
The Hong Kong Jockey Club D8,"Wang Patrick, Lee Dennis Yuk Kai (14)",Yuen Chi Ho Lawson (10),Yuen Chi Ho Lawson (83.3%)
