Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Honey Badger 1,v,The Squash Club 2,HK Squash Centre (HKSC),19:00,"2-3(1-3,2-3,0-3,3-0,3-0)",1,10/10/2018
HKU 2,v,Perrier Sergio Tacchini KCC 7,HK Squash Centre (HKSC),19:00,"3-2(0-3,3-0,3-0,0-3,3-0)",1,10/10/2018
Twister 2,v,Banbil,Cornwall Street (CSPSC),19:00,"5-0(3-0,3-0,3-0,3-0,CR)",1,10/10/2018
Studio Pro,v,Head Sha Tin 4,Java Road (JRSC),19:00,"2-3(3-1,0-3,3-1,1-3,1-3)",1,10/10/2018
Banbil,v,HKU 2,HK Squash Centre (HKSC),19:00,"3-2(3-2,0-3,3-0,2-3,3-0)",2,24/10/2018
Studio Pro,v,Perrier Sergio Tacchini KCC 7,Java Road (JRSC),19:00,"2-3(3-2,0-3,3-1,1-3,1-3)",2,24/10/2018
Head Sha Tin 4,v,Honey Badger 1,Cornwall Street (CSPSC),19:00,"3-2(3-1,1-3,0-3,3-2,3-0)",2,24/10/2018
The Squash Club 2,v,Twister 2,Cornwall Street (CSPSC),19:00,"1-4(0-3,3-1,0-3,0-3,2-3)",2,24/10/2018
HKU 2,v,The Squash Club 2,HK Squash Centre (HKSC),19:00,"1-4(0-3,3-0,0-3,1-3,1-3)",3,31/10/2018
Honey Badger 1,v,Studio Pro,HK Squash Centre (HKSC),19:00,"3-2(2-3,0-3,3-0,3-1,3-1)",3,31/10/2018
Twister 2,v,Head Sha Tin 4,Pei Ho Street (PHSSC),19:00,"3-2(3-1,3-2,1-3,3-1,0-3)",3,31/10/2018
Perrier Sergio Tacchini KCC 7,v,Banbil,Kowloon Cricket Club (KCC),19:00,"4-1(3-0,3-1,3-1,3-0,2-3)",3,31/10/2018
Honey Badger 1,v,Twister 2,HK Squash Centre (HKSC),19:00,"3-2(3-2,3-2,0-3,3-2,0-3)",4,07/11/2018
Studio Pro,v,Banbil,Java Road (JRSC),19:00,"4-1(3-0,3-2,3-0,1-3,3-0)",4,07/11/2018
Head Sha Tin 4,v,HKU 2,Cornwall Street (CSPSC),19:00,"2-3(0-3,0-3,0-3,3-0,3-0)",4,07/11/2018
Perrier Sergio Tacchini KCC 7,v,The Squash Club 2,Kowloon Cricket Club (KCC),19:00,"1-4(2-3,0-3,1-3,3-1,CR)",4,07/11/2018
HKU 2,v,Honey Badger 1,HK Squash Centre (HKSC),19:00,"4-1(3-0,3-1,3-2,1-3,3-0)",5,14/11/2018
Banbil,v,The Squash Club 2,HK Squash Centre (HKSC),19:00,"1-4(0-3,2-3,0-3,0-3,3-2)",5,14/11/2018
Studio Pro,v,Twister 2,Java Road (JRSC),19:00,"2-3(0-3,3-2,0-3,1-3,3-2)",5,14/11/2018
Perrier Sergio Tacchini KCC 7,v,Head Sha Tin 4,Kowloon Cricket Club (KCC),19:00,"4-1(3-0,3-1,0-3,3-2,3-0)",5,14/11/2018
Honey Badger 1,v,Perrier Sergio Tacchini KCC 7,HK Squash Centre (HKSC),19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",6,28/11/2018
The Squash Club 2,v,Studio Pro,Pei Ho Street (PHSSC),19:00,"3-2(3-1,0-3,3-1,3-2,1-3)",6,28/11/2018
