Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
North District Sport Association 1,10,9,1,44,0,2,0,0,35,15
WSC Noset,9,8,1,38,0,0,0,0,30,15
Tuen Mun Squash Club 2,10,6,4,34,0,0,0,0,28,22
Hong Kong Football Club 13,10,6,4,33,0,0,0,2,27,23
Sea Bear,10,4,6,27,0,2,0,0,23,27
Island Squash Racket Club,9,4,5,25,0,0,0,0,21,24
Kinetic 4,10,4,6,25,0,0,0,0,21,29
Star River 2,10,2,8,25,0,1,0,0,23,27
Centre Squash,10,3,7,23,3,1,0,0,20,30
Banbil,10,3,7,18,3,0,2,0,17,33
