Team Name,Home,Average Home Score,Average Away Score,Difference
Neptune,Cornwall Street (CSPSC),2.6,0.5,2.1
Hong Kong Football Club 7,Hong Kong Football Club (HKFC),4.2,2.2,2.0
i-Mask Advance Squash Club 4,Cornwall Street (CSPSC),2.5,0.6666666666666666,1.8333333333333335
Yuen Long Squash Club,Yuen Long Jockey Club (YLJCSC),2.6666666666666665,1.2,1.4666666666666666
Warriors 1,Pei Ho Street (PHSSC),2.8,2.2,0.5999999999999996
United Services Recreation Club 2,United Services Recreation Club (USRC),3.8,3.5,0.2999999999999998
Spark 2,HK Squash Centre (HKSC),2.6,2.3333333333333335,0.2666666666666666
Yuen Long JR 1,Yuen Long Jockey Club (YLJCSC),3.6666666666666665,3.5,0.16666666666666652
Squashathon Zero,Cornwall Street (CSPSC),1.3333333333333333,1.25,0.08333333333333326
i-Mask Advance Squash Club 3,Cornwall Street (CSPSC),1.3333333333333333,1.75,-0.41666666666666674
