Team Name,Home,Average Home Score,Average Away Score,Difference
Howards Folly Wine LRC M3,Ladies Recreation Club (LRC),4.2,2.8333333333333335,1.3666666666666667
Hong Kong Cricket Club M3,Hong Kong Cricket Club (HKCC),3.1666666666666665,1.8,1.3666666666666665
Hong Kong Football Club M3B,Hong Kong Football Club (HKFC),2.75,1.6,1.15
Titlows Master,MTR Metro Recreation Club (MTRC),1.0,0.5,0.5
American Club - Yacht Club,American Club (AC),3.3333333333333335,3.0,0.3333333333333335
Discovery Bay,Discovery Bay (DB),2.6,2.3333333333333335,0.2666666666666666
Jaws Master,Masters - HK Squash Centre (M - HKSC),2.5,2.25,0.25
The Hong Kong Jockey Club M3,HKJC Sha Tin Club House (HKJC),2.2,2.0,0.20000000000000018
Hong Kong Football Club M3A,Hong Kong Football Club (HKFC),1.8,1.75,0.050000000000000044
United Services Recreation Club M3,United Services Recreation Club (USRC),2.6666666666666665,2.8,-0.1333333333333333
Phoenix,Masters - HK Squash Centre (M - HKSC),2.6,3.0,-0.3999999999999999
Hong Kong Football Club M3C,Hong Kong Football Club (HKFC),3.5,4.0,-0.5
