Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club 6A,88.88888888888889,77.77777777777779,55.55555555555556,88.88888888888889,77.77777777777779,77.77777777777777,45
Hong Kong Football Club 6B,77.77777777777779,55.55555555555556,100.0,66.66666666666666,87.5,77.5,44
HEAD SHATIN 2,50.0,70.0,80.0,66.66666666666666,88.88888888888889,71.11111111111111,48
Hong Kong Cricket Club 6,50.0,60.0,33.33333333333333,66.66666666666666,77.77777777777779,57.55555555555556,47
Andy and Friends 1,50.0,40.0,70.0,60.0,50.0,54.0,50
Kinetic 1,30.0,80.0,50.0,37.5,28.57142857142857,45.21428571428571,45
Global 1,50.0,20.0,40.0,66.66666666666666,44.44444444444444,44.222222222222214,48
Ricci Hall Old Boys' Association,90.0,10.0,33.33333333333333,11.11111111111111,12.5,31.388888888888886,46
Twister 1,10.0,40.0,10.0,30.0,22.22222222222222,22.444444444444446,49
HKU 1,10.0,50.0,30.0,10.0,10.0,22.0,50
