Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club M3C,72.72727272727273,45.45454545454545,63.63636363636363,100.0,90.9090909090909,74.54545454545455,55
Howards Folly Wine LRC M3,81.81818181818183,45.45454545454545,63.63636363636363,81.81818181818183,72.72727272727273,69.0909090909091,55
American Club - Yacht Club,81.81818181818183,45.45454545454545,90.9090909090909,45.45454545454545,54.54545454545454,63.63636363636364,55
Phoenix,81.81818181818183,72.72727272727273,45.45454545454545,54.54545454545454,36.36363636363637,58.18181818181817,55
United Services Recreation Club M3,54.54545454545454,54.54545454545454,63.63636363636363,63.63636363636363,36.36363636363637,54.54545454545454,55
Hong Kong Cricket Club M3,27.27272727272727,72.72727272727273,63.63636363636363,36.36363636363637,54.54545454545454,50.90909090909091,55
Discovery Bay,36.36363636363637,81.81818181818183,54.54545454545454,45.45454545454545,27.27272727272727,49.09090909090909,55
Hong Kong Football Club M3B,27.27272727272727,81.81818181818183,36.36363636363637,36.36363636363637,54.54545454545454,47.27272727272727,55
Jaws Master,63.63636363636363,36.36363636363637,18.181818181818183,36.36363636363637,72.72727272727273,45.45454545454546,55
The Hong Kong Jockey Club M3,36.36363636363637,36.36363636363637,45.45454545454545,36.36363636363637,54.54545454545454,41.81818181818182,55
Hong Kong Football Club M3A,27.27272727272727,18.181818181818183,54.54545454545454,27.27272727272727,27.27272727272727,30.909090909090907,55
Titlows Master,9.090909090909092,9.090909090909092,0.0,36.36363636363637,18.181818181818183,14.545454545454547,55
