Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Physical Chess 1,11,11,0,53,0,0,0,0,42,13
Hong Kong Football Club 7B,11,10,1,52,0,0,0,0,42,13
Fusion Squash Club 2,11,7,4,43,0,1,0,0,36,19
TNG 2,11,6,5,36,0,2,0,0,30,25
United Services Recreation Club 2,11,6,5,35,0,2,0,0,29,26
Hong Kong Football Club 7A,11,5,6,33,0,1,0,0,28,27
i-Mask Advance Squash Club 2,11,5,6,31,3,2,0,0,26,29
Friend Club 3,11,4,7,28,3,2,0,0,24,31
Twister 1,11,1,10,13,0,0,0,0,12,43
Neptune,11,0,11,6,4,0,0,0,6,49
