Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
WAKO Masters,10,9,1,48,0,0,0,0,39,11
The Hong Kong Jockey Club M4,10,8,2,44,0,0,0,0,36,14
Phoenix,10,8,2,40,0,0,0,0,32,18
Perrier Sergio Tacchini KCC M4,9,7,2,34,0,0,0,0,28,17
Bolton,10,5,5,30,0,0,0,0,25,25
Hong Kong Cricket Club M4,9,4,5,29,0,1,0,0,25,20
Hong Kong Football Club M4A,9,4,5,28,0,2,0,0,24,21
Alpha CUHK Master,10,3,7,18,0,0,0,0,15,35
RHKYC M4,9,2,7,16,1,0,0,0,14,31
The HK Club Blue,10,2,8,15,2,0,0,0,13,37
Hong Kong Football Club M4B,8,0,8,9,0,0,0,0,9,31
