Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Happy Squash Maru,v,United Services Recreation Club 4,Tai Wo Hau Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",1,08/10/2021
Smart Squash 2,v,YLJR 2,Tai Po Sports Ground,19:00,"1-4(0-3,3-2,1-3,0-3,2-3)",1,08/10/2021
Squashaholic,v,Fusion Squash Club 3,Cornwall Street Squash Centre,19:00,"0-5(1-3,0-3,1-3,0-3,CR)",1,08/10/2021
Kinetic 1,v,Friend Club 7,Yuen Long Jockey Club Squash Courts,19:00,"0-5(1-3,0-3,1-3,2-3,0-3)",1,08/10/2021
i-Mask Advance Squash Club 4,v,[BYE],,,,1,08/10/2021
i-Mask Advance Squash Club 4,v,Kinetic 1,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",2,15/10/2021
Friend Club 7,v,Squashaholic,HK Squash Centre,19:00,"5-0(3-2,3-0,3-0,3-0,CR)",2,15/10/2021
Smart Squash 2,v,Fusion Squash Club 3,Tai Po Sports Ground,19:00,"4-1(0-3,3-0,3-0,3-0,3-0)",2,15/10/2021
YLJR 2,v,Happy Squash Maru,Yuen Long Jockey Club Squash Courts,19:00,"2-3(3-0,0-3,0-3,1-3,3-0)",2,15/10/2021
United Services Recreation Club 4,v,[BYE],,,,2,15/10/2021
United Services Recreation Club 4,v,YLJR 2,United Services Recreation Club,19:00,"0-5(1-3,0-3,2-3,1-3,0-3)",3,22/10/2021
Happy Squash Maru,v,Fusion Squash Club 3,Tai Wo Hau Squash Centre,19:00,"4-1(1-3,3-1,3-1,3-0,3-0)",3,22/10/2021
Smart Squash 2,v,Friend Club 7,Tai Po Sports Ground,19:00,"2-3(1-3,1-3,3-2,1-3,3-0)",3,22/10/2021
Squashaholic,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,"0-5(1-3,0-3,0-3,0-3,WO)",3,22/10/2021
Kinetic 1,v,[BYE],,,,3,22/10/2021
Kinetic 1,v,Squashaholic,Yuen Long Jockey Club Squash Courts,19:00,"5-0(CR,CR,CR,CR,CR)",4,29/10/2021
i-Mask Advance Squash Club 4,v,Smart Squash 2,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-0,3-0,CR,CR)",4,29/10/2021
Friend Club 7,v,Happy Squash Maru,HK Squash Centre,19:00,"2-3(3-2,3-2,0-3,0-3,0-3)",4,29/10/2021
Fusion Squash Club 3,v,United Services Recreation Club 4,HK Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-1,3-0)",4,29/10/2021
YLJR 2,v,[BYE],,,,4,29/10/2021
YLJR 2,v,Fusion Squash Club 3,Yuen Long Jockey Club Squash Courts,19:00,"5-0(3-0,3-0,3-0,3-0,3-1)",5,05/11/2021
United Services Recreation Club 4,v,Friend Club 7,United Services Recreation Club,19:00,"0-5(0-3,0-3,1-3,0-3,CR)",5,05/11/2021
Happy Squash Maru,v,i-Mask Advance Squash Club 4,Tai Wo Hau Squash Centre,19:00,"3-2(2-3,0-3,3-2,3-1,3-2)",5,05/11/2021
Smart Squash 2,v,Kinetic 1,Tai Po Sports Ground,19:00,"5-0(3-1,3-0,3-0,3-1,3-0)",5,05/11/2021
Squashaholic,v,[BYE],,,,5,05/11/2021
Smart Squash 2,v,Squashaholic,Tai Po Sports Ground,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",6,12/11/2021
Kinetic 1,v,Happy Squash Maru,Yuen Long Jockey Club Squash Courts,19:00,"1-4(3-2,0-3,0-3,0-3,0-3)",6,12/11/2021
i-Mask Advance Squash Club 4,v,United Services Recreation Club 4,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",6,12/11/2021
Friend Club 7,v,YLJR 2,HK Squash Centre,19:00,"2-3(0-3,3-1,0-3,3-2,0-3)",6,12/11/2021
Fusion Squash Club 3,v,[BYE],,,,6,12/11/2021
Fusion Squash Club 3,v,Friend Club 7,HK Squash Centre,19:00,"5-0(3-0,3-0,3-0,CR,CR)",7,19/11/2021
YLJR 2,v,i-Mask Advance Squash Club 4,Yuen Long Jockey Club Squash Courts,19:00,"0-5(2-3,0-3,0-3,0-3,0-3)",7,19/11/2021
United Services Recreation Club 4,v,Kinetic 1,United Services Recreation Club,19:00,"4-1(3-0,2-3,3-2,3-2,3-0)",7,19/11/2021
Happy Squash Maru,v,Squashaholic,Tai Wo Hau Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-0,WO)",7,19/11/2021
Smart Squash 2,v,[BYE],,,,7,19/11/2021
Happy Squash Maru,v,Smart Squash 2,Tai Wo Hau Squash Centre,19:00,"3-2(1-3,0-3,3-1,3-0,CR)",8,26/11/2021
Squashaholic,v,United Services Recreation Club 4,Cornwall Street Squash Centre,19:00,"1-4(3-0,0-3,2-3,2-3,0-3)",8,26/11/2021
