Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
TSC - Asymmetry,v,Perrier Sergio Tacchini KCC 6,Cornwall Street Squash Centre,19:00,"1-4(0-3,3-0,0-3,0-3,2-3)",1,04/10/2021
Friend Club 4,v,Hong Kong Cricket Club 3,Cornwall Street Squash Centre,19:00,"0-5(2-3,0-3,0-3,2-3,0-3)",1,04/10/2021
Global Squash 1,v,Sha Tin Squash Rackets Club 2,Harbour Road Sports Centre,19:00,"2-3(1-3,3-0,0-3,1-3,3-1)",1,04/10/2021
Hong Kong Football Club 8A,v,Hong Kong Football Club 8B,Hong Kong Football Club,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",1,04/10/2021
Global Squash 1,v,Hong Kong Football Club 8A,Harbour Road Sports Centre,19:00,"3-2(0-3,3-1,3-2,3-0,1-3)",2,11/10/2021
Sha Tin Squash Rackets Club 2,v,Friend Club 4,Cornwall Street Squash Centre,19:00,"3-2(1-3,3-0,3-0,3-0,1-3)",2,11/10/2021
Hong Kong Cricket Club 3,v,TSC - Asymmetry,Hong Kong Cricket Club,19:00,"4-1(3-0,3-1,3-0,3-0,0-3)",2,11/10/2021
Hong Kong Football Club 8B,v,Perrier Sergio Tacchini KCC 6,Hong Kong Football Club,19:00,"0-5(1-3,0-3,1-3,0-3,0-3)",2,11/10/2021
Perrier Sergio Tacchini KCC 6,v,Hong Kong Cricket Club 3,Kowloon Cricket Club,19:00,"3-2(3-0,0-3,3-1,0-3,3-2)",3,18/10/2021
TSC - Asymmetry,v,Sha Tin Squash Rackets Club 2,Cornwall Street Squash Centre,19:00,"2-3(3-0,3-2,0-3,0-3,0-3)",3,18/10/2021
Hong Kong Football Club 8A,v,Friend Club 4,Hong Kong Football Club,19:00,"3-2(1-3,3-0,3-2,1-3,3-0)",3,18/10/2021
Global Squash 1,v,Hong Kong Football Club 8B,Harbour Road Sports Centre,19:00,"4-1(3-1,3-2,3-0,1-3,CR)",3,18/10/2021
Global Squash 1,v,Friend Club 4,Harbour Road Sports Centre,19:00,"5-0(3-1,3-0,3-2,3-0,3-1)",4,25/10/2021
TSC - Asymmetry,v,Hong Kong Football Club 8A,Cornwall Street Squash Centre,19:00,"2-3(3-1,3-1,1-3,1-3,0-3)",4,25/10/2021
Sha Tin Squash Rackets Club 2,v,Perrier Sergio Tacchini KCC 6,Cornwall Street Squash Centre,19:00,"2-3(1-3,2-3,3-0,1-3,3-0)",4,25/10/2021
Hong Kong Football Club 8B,v,Hong Kong Cricket Club 3,Hong Kong Football Club,19:00,"2-3(3-0,1-3,1-3,3-2,1-3)",4,25/10/2021
Hong Kong Cricket Club 3,v,Sha Tin Squash Rackets Club 2,Hong Kong Cricket Club,19:00,"4-1(3-0,1-3,3-1,3-1,3-0)",5,01/11/2021
Perrier Sergio Tacchini KCC 6,v,Hong Kong Football Club 8A,Kowloon Cricket Club,19:00,"5-0(3-0,3-1,3-1,3-0,3-1)",5,01/11/2021
TSC - Asymmetry,v,Global Squash 1,Cornwall Street Squash Centre,19:00,"2-3(3-2,1-3,1-3,0-3,3-1)",5,01/11/2021
Friend Club 4,v,Hong Kong Football Club 8B,Cornwall Street Squash Centre,19:00,"1-4(3-0,1-3,1-3,2-3,0-3)",5,01/11/2021
Friend Club 4,v,TSC - Asymmetry,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,0-3,0-3,2-3)",6,08/11/2021
Global Squash 1,v,Perrier Sergio Tacchini KCC 6,Harbour Road Sports Centre,19:00,"3-2(3-0,3-0,2-3,3-0,0-3)",6,08/11/2021
Hong Kong Football Club 8A,v,Hong Kong Cricket Club 3,Hong Kong Football Club,19:00,"0-5(1-3,0-3,1-3,0-3,2-3)",6,08/11/2021
Sha Tin Squash Rackets Club 2,v,Hong Kong Football Club 8B,Cornwall Street Squash Centre,19:00,"4-1(3-1,3-1,3-0,3-0,0-3)",6,08/11/2021
Sha Tin Squash Rackets Club 2,v,Hong Kong Football Club 8A,Cornwall Street Squash Centre,19:00,"3-2(3-2,3-0,3-0,0-3,1-3)",7,15/11/2021
