Team,Most Games,Most Wins,Highest Win Percentage
EdUHK,Leong Chin Fung (11),Leong Chin Fung (7),Leong Chin Fung (63.6%)
Friend Club 6,Cheung Ka Man (11),Cheung Ka Man (8),Cheung Ka Man (72.7%)
Fusion Squash Club 2,Bai Ethan Hao Wen (15),Tang Lok Yin (14),Tang Lok Yin (100.0%)
Hong Kong Cricket Club 5,"Denham Paul, Thomas Tristan Roland France, Warner James William (15)",Thomas Tristan Roland France (9),Litherland Benjamin (83.3%)
Kinetic 1,Lam Dennis Wun Cheung (15),"Lo Ching Yin, Shea Chi Hang (8)",Lo Ching Yin (72.7%)
Sha Tin Squash Rackets Club Team 3,"Cheung Ringo Hon Lam, Cheuk Chi Tak (19)",Cheung Ringo Hon Lam (18),Cheung Ringo Hon Lam (94.7%)
Smart Squash 1,Wong Chak Sum Ocean (17),"Wong Chak Sum Ocean, Feng Weitao (15)",Feng Weitao (93.8%)
Squashathon Zero,Leung Chun Ho (17),"Leung Chun Ho, Tam Raymond Kin Wai (14)",Tam Raymond Kin Wai (87.5%)
TNG 3,"Wong Suet Ling, Wong Ho Kiu (13)",Chiu Hau Ching (8),Chiu Hau Ching (66.7%)
YLJR 2,"Lam Yuen Sarm, Chan Man Fung, Mak Wai Fung, Cheng Tsz Hei (12)","Chan Man Fung, Mak Wai Fung (6)","Chan Man Fung, Mak Wai Fung (50.0%)"
