Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 4,22,19,3,102,83,27,0,1,0,0
United Services Recreation Club 3,22,18,4,96,78,32,0,1,0,0
7NT,22,15,7,84,69,41,0,1,0,0
Hong Kong Cricket Club Rockers,22,15,7,81,66,44,0,0,0,0
Hong Kong Football Club 15,22,14,8,76,62,48,0,1,0,0
Tuen Mun Squash Club,22,13,9,72,59,51,0,0,0,0
SKCSC,22,10,12,62,52,58,0,0,0,0
TNG 2,22,10,12,55,45,65,0,0,0,3
South China Athletic Association,22,6,16,46,40,70,4,0,0,1
Sha Tin Squash Rackets Club 5,22,5,17,46,41,69,0,0,0,0
The Squash Club 2,22,5,17,34,33,77,3,0,4,0
Invader Squash,22,2,20,34,32,78,1,4,0,0
