Team Name,Home,Average Home Score,Average Away Score,home_away_diff
X-Alpha 3,Pei Ho Street Sports Centre,2.909090909090909,2.090909090909091,0.8181818181818183
Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,1.3636363636363635,0.6363636363636364,0.7272727272727272
Happy Squash 2,Wai Tsuen Sports Centre,2.6363636363636362,2.0,0.6363636363636362
Kowloon Cricket Club 7,Kowloon Cricket Club,3.1818181818181817,2.8181818181818183,0.3636363636363633
The Squash Club 1,Cornwall Street Squash Centre,2.6363636363636362,2.272727272727273,0.3636363636363633
Hong Kong Football Club 7B,Hong Kong Football Club,3.909090909090909,3.6363636363636362,0.27272727272727293
Fusion Squash Club 1,HK Squash Centre,1.1818181818181819,1.0,0.18181818181818188
i-Mask Advance Squash Club 2,Cornwall Street Squash Centre,1.5454545454545454,1.5454545454545454,0.0
Hong Kong Football Club 7A,Hong Kong Football Club,3.5454545454545454,3.6363636363636362,-0.09090909090909083
Twister 1,Cornwall Street Squash Centre,2.6363636363636362,2.8181818181818183,-0.1818181818181821
Physical Chess 1,Cornwall Street Squash Centre,4.0,4.2727272727272725,-0.2727272727272725
Friend Club 2,Kwun Chung Sports Centre,1.7272727272727273,2.0,-0.2727272727272727
