Home Team,vs,Away Team,Venue,Time,Result,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Cricket Club 6,v,Sha Tin Squash Rackets Club 3,Hong Kong Cricket Club,19:00,,3.45,2.55
Kinetic 1,v,Studio Pro,Yuen Long Jockey Club Squash Courts,19:00,,2.82,3.18
Ladies Recreation Club Div 12,v,Squashathon Zero,Ladies Recreation Club,19:00,,2.0,4.0
i-Mask Advance Squash Club 3,v,MERCURY,Cornwall Street Squash Centre,19:00,,3.98,2.02
Squashathon Zero,v,MERCURY,Cornwall Street Squash Centre,19:00,,3.94,2.06
Studio Pro,v,Ladies Recreation Club Div 12,Java Road Sports Centre,19:00,,3.39,2.61
Sha Tin Squash Rackets Club 3,v,Kinetic 1,Cornwall Street Squash Centre,19:00,,4.23,1.77
Hong Kong Cricket Club 6,v,i-Mask Advance Squash Club 3,Hong Kong Cricket Club,19:00,,3.07,2.93
Kinetic 1,v,Hong Kong Cricket Club 6,Yuen Long Jockey Club Squash Courts,19:00,,1.88,4.12
Ladies Recreation Club Div 12,v,Sha Tin Squash Rackets Club 3,Ladies Recreation Club,19:00,,2.38,3.62
MERCURY,v,Studio Pro,HK Squash Centre,19:00,,3.02,2.98
i-Mask Advance Squash Club 3,v,Squashathon Zero,Cornwall Street Squash Centre,19:00,,3.23,2.77
Studio Pro,v,Squashathon Zero,Java Road Sports Centre,19:00,,2.14,3.86
Sha Tin Squash Rackets Club 3,v,MERCURY,Cornwall Street Squash Centre,19:00,,3.79,2.21
Hong Kong Cricket Club 6,v,Ladies Recreation Club Div 12,Hong Kong Cricket Club,19:00,,4.08,1.92
Kinetic 1,v,i-Mask Advance Squash Club 3,Yuen Long Jockey Club Squash Courts,19:00,,1.84,4.16
Ladies Recreation Club Div 12,v,Kinetic 1,Ladies Recreation Club,19:00,,3.47,2.53
MERCURY,v,Hong Kong Cricket Club 6,HK Squash Centre,19:00,,2.24,3.76
Squashathon Zero,v,Sha Tin Squash Rackets Club 3,Cornwall Street Squash Centre,19:00,,3.59,2.41
i-Mask Advance Squash Club 3,v,Studio Pro,Cornwall Street Squash Centre,19:00,,4.16,1.84
Sha Tin Squash Rackets Club 3,v,Studio Pro,Pei Ho Street Sports Centre,19:00,,3.74,2.26
Hong Kong Cricket Club 6,v,Squashathon Zero,Hong Kong Cricket Club,19:00,,3.07,2.93
Kinetic 1,v,MERCURY,Yuen Long Jockey Club Squash Courts,19:00,,2.81,3.19
