Home Team,vs,Away Team,Venue,Time,Result,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Football Club 3B,v,Hong Kong Football Club 3A,Hong Kong Football Club,19:00,,3.23,2.77
Hong Kong Football Club 3B,v,Happy Squash 1,Hong Kong Football Club,19:00,,4.14,1.86
Kowloon Cricket Club 3,v,Young Player 3,Kowloon Cricket Club,19:00,,4.71,1.29
Young Player 3,v,Hong Kong Football Club 3A,HK Squash Centre,19:00,,2.74,3.26
Happy Squash 1,v,Kowloon Cricket Club 3,Cornwall Street Squash Centre,19:00,,1.74,4.26
Hong Kong Football Club 3B,v,Kowloon Cricket Club 3,Hong Kong Football Club,19:00,,2.39,3.61
Hong Kong Football Club 3A,v,Happy Squash 1,Hong Kong Football Club,19:00,,4.38,1.62
Hong Kong Football Club 3A,v,Hong Kong Football Club 3B,Hong Kong Football Club,19:00,,3.14,2.86
Young Player 3,v,Happy Squash 1,HK Squash Centre,19:00,,3.51,2.49
Hong Kong Football Club 3A,v,Kowloon Cricket Club 3,Hong Kong Football Club,19:00,,2.35,3.65
Young Player 3,v,Hong Kong Football Club 3B,HK Squash Centre,19:00,,2.69,3.31
Happy Squash 1,v,Hong Kong Football Club 3B,Cornwall Street Squash Centre,19:00,,2.02,3.98
Young Player 3,v,Kowloon Cricket Club 3,HK Squash Centre,19:00,,1.52,4.48
Hong Kong Football Club 3A,v,Young Player 3,Hong Kong Football Club,19:00,,3.55,2.45
Kowloon Cricket Club 3,v,Happy Squash 1,Kowloon Cricket Club,19:00,,4.44,1.56
Kowloon Cricket Club 3,v,Hong Kong Football Club 3B,Kowloon Cricket Club,19:00,,3.92,2.08
Happy Squash 1,v,Hong Kong Football Club 3A,Cornwall Street Squash Centre,19:00,,1.81,4.19
Hong Kong Football Club 3B,v,Hong Kong Football Club 3A,Hong Kong Football Club,19:00,,3.23,2.77
Happy Squash 1,v,Young Player 3,Cornwall Street Squash Centre,19:00,,2.62,3.38
Kowloon Cricket Club 3,v,Hong Kong Football Club 3A,Kowloon Cricket Club,19:00,,3.97,2.03
Hong Kong Football Club 3B,v,Young Player 3,Hong Kong Football Club,19:00,,3.64,2.36
Hong Kong Football Club 3B,v,Happy Squash 1,Hong Kong Football Club,19:00,,4.19,1.81
Kowloon Cricket Club 3,v,Young Player 3,Kowloon Cricket Club,19:00,,4.73,1.27
Young Player 3,v,Hong Kong Football Club 3A,HK Squash Centre,19:00,,2.74,3.26
Happy Squash 1,v,Kowloon Cricket Club 3,Cornwall Street Squash Centre,19:00,,1.77,4.23
Hong Kong Football Club 3B,v,Kowloon Cricket Club 3,Hong Kong Football Club,19:00,,2.38,3.62
Hong Kong Football Club 3A,v,Happy Squash 1,Hong Kong Football Club,19:00,,4.36,1.64
