Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Kinetic 3,50.0,87.5,100.0,75.0,100.0,82.5,40
Sha Tin Squash Rackets Club 6,87.5,50.0,75.0,85.71428571428571,100.0,79.64285714285714,37
Global Squash 2,81.81818181818183,63.63636363636363,72.72727272727273,81.81818181818183,54.54545454545454,70.9090909090909,55
ZOMA,50.0,62.5,50.0,60.0,50.0,54.5,31
Airporterz,44.44444444444444,88.88888888888889,55.55555555555556,28.57142857142857,20.0,47.49206349206348,39
Hong Kong Football Club 16,40.0,60.0,22.22222222222222,50.0,57.14285714285714,45.87301587301587,44
Star River 2,42.857142857142854,28.57142857142857,42.857142857142854,28.57142857142857,66.66666666666666,41.9047619047619,34
i-Mask Advance Squash Club 6,25.0,50.0,25.0,28.57142857142857,25.0,30.71428571428571,35
Winter Warriors,12.5,50.0,14.285714285714285,57.14285714285714,16.666666666666664,30.119047619047613,36
SQUASHTASTIC 8,30.0,80.0,20.0,20.0,0.0,30.0,47
Latecomers,37.5,0.0,0.0,12.5,33.33333333333333,16.666666666666664,38
CSD Squash Team,28.57142857142857,14.285714285714285,16.666666666666664,0.0,0.0,11.904761904761903,25
