Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Physical Chess 4,80.0,80.0,100.0,60.0,80.0,80.0,25
United Services Recreation Club 3,45.45454545454545,63.63636363636363,90.9090909090909,81.81818181818183,80.0,72.36363636363636,54
7NT,60.0,60.0,80.0,80.0,80.0,72.0,25
Hong Kong Cricket Club Rockers,90.9090909090909,63.63636363636363,54.54545454545454,63.63636363636363,72.72727272727273,69.0909090909091,55
Hong Kong Football Club 15,36.36363636363637,81.81818181818183,81.81818181818183,72.72727272727273,54.54545454545454,65.45454545454547,55
SKCSC,40.0,40.0,40.0,60.0,60.0,48.0,25
Sha Tin Squash Rackets Club 5,80.0,40.0,40.0,20.0,40.0,44.0,25
Tuen Mun Squash Club,60.0,0.0,60.0,60.0,40.0,44.0,25
TNG 2,40.0,20.0,20.0,40.0,60.0,36.0,25
South China Athletic Association,45.45454545454545,36.36363636363637,36.36363636363637,36.36363636363637,12.5,33.409090909090914,52
The Squash Club 2,40.0,40.0,20.0,25.0,25.0,30.0,23
Invader Squash,18.181818181818183,18.181818181818183,36.36363636363637,20.0,40.0,26.54545454545455,53
