Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Physical Chess 1,77.27272727272727,95.45454545454545,77.27272727272727,80.95238095238095,80.0,82.19047619047619,107
Hong Kong Football Club 7B,100.0,71.42857142857143,61.904761904761905,72.22222222222221,62.5,73.61111111111111,97
Hong Kong Football Club 7A,86.36363636363636,59.09090909090909,76.19047619047619,65.0,80.0,73.32900432900433,100
Kowloon Cricket Club 7,63.63636363636363,36.36363636363637,68.18181818181817,61.904761904761905,64.70588235294117,58.95849248790425,104
Twister 1,36.36363636363637,76.19047619047619,71.42857142857143,50.0,26.31578947368421,52.059694691273634,103
X-Alpha 3,71.42857142857143,50.0,40.0,36.84210526315789,60.0,51.654135338345874,95
The Squash Club 1,45.45454545454545,40.909090909090914,59.09090909090909,40.0,50.0,47.09090909090909,106
Friend Club 2,31.818181818181817,36.36363636363637,33.33333333333333,47.368421052631575,52.94117647058824,40.364949807674265,101
Happy Squash 2,25.0,60.0,35.0,47.368421052631575,31.25,39.723684210526315,95
i-Mask Advance Squash Club 2,42.857142857142854,36.84210526315789,31.57894736842105,33.33333333333333,16.666666666666664,32.25563909774436,86
Fusion Squash Club 1,14.285714285714285,19.047619047619047,23.809523809523807,27.77777777777778,50.0,26.98412698412698,95
Hong Kong Racketlon Association 1,4.545454545454546,18.181818181818183,18.181818181818183,31.818181818181817,21.052631578947366,18.75598086124402,107
