Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,19,18,1,92,74,21,0,13,0,0
Alpha CUHK,19,14,5,84,70,25,0,6,0,0
South China Athletic Association,19,16,3,82,66,29,0,5,0,0
Sea Bear,19,12,7,73,61,34,0,3,0,0
Winter Warriors,19,12,7,73,61,34,4,3,0,1
Hong Kong Football Club 12A,19,14,5,72,58,37,0,12,0,0
ZOMA,19,7,12,48,41,54,0,7,0,1
Star River 2,19,6,13,42,36,59,0,10,0,0
Hong Kong Football Club 12B,19,6,13,40,35,60,5,14,1,0
Hong Kong Racketlon Assoication 2,19,5,14,29,28,67,23,1,0,1
CSD Squash Team,19,2,17,21,21,74,28,0,2,0
Latecomers,19,2,17,16,19,76,15,1,0,0
