Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,9,9,0,49,40,5,0,1,0,0
Sha Tin 6,9,8,1,41,33,12,2,7,0,0
X-Alpha 5,9,6,3,35,29,16,0,16,0,0
Energy Squash Club 1,9,4,5,27,23,22,4,8,0,0
Yuen Long District Sports Association Limited,9,4,5,27,23,22,0,15,0,0
SocGen Squash,9,3,6,26,23,22,7,0,0,0
Fusion Squash Club 2,9,5,4,25,20,25,7,0,0,0
i-Mask Advance Squash Club 5,9,4,5,23,19,26,13,9,0,0
HKIS Div 13,9,3,6,20,17,28,16,2,0,0
Energy Squash Club 2,9,3,6,19,16,29,13,2,0,0
Kinetic 4,9,3,6,17,14,31,2,2,0,0
Happy Squash 4,9,2,7,15,13,32,0,2,0,0
