Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Star River 3,Cornwall Street Squash Centre,3.0,0.0,3.0
Royal Hong Kong Yacht Club Div 13,Royal Hong Kong Yacht Club,2.5,0.0,2.5
Bravo D13,Cornwall Street Squash Centre,1.0,0.0,1.0
Vitality Squash 3,HK Squash Centre,1.0,0.0,1.0
M&M Squash,Cornwall Street Squash Centre,1.0,3.0,-2.0
North District Sports Association 2,Cornwall Street Squash Centre,0.0,2.0,-2.0
Physical Chess 4,Cornwall Street Squash Centre,0.0,2.0,-2.0
Greenfield,Cornwall Street Squash Centre,0.0,3.5,-3.5
Arctic Circle,Cornwall Street Squash Centre,0.0,4.0,-4.0
TNG 2,Cornwall Street Squash Centre,0.0,5.0,-5.0
