Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Energy Squash Club 2,HK Squash Centre,3.125,1.1428571428571428,1.9821428571428572
HKIS Div 13,HK Squash Centre,2.2857142857142856,0.42857142857142855,1.857142857142857
Energy Squash Club 1,Kwun Chung Sports Centre,3.111111111111111,1.6,1.511111111111111
i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,2.272727272727273,1.125,1.147727272727273
Happy Squash 4,Wai Tsuen Sports Centre,2.6,1.6,1.0
Yuen Long District Sports Association Limited,Yuen Long Jockey Club Squash Courts,2.6666666666666665,1.7272727272727273,0.9393939393939392
SocGen Squash,HK Squash Centre,3.4285714285714284,2.7142857142857144,0.714285714285714
Electrify Squash Div 13,HK Squash Centre,4.666666666666667,4.0,0.666666666666667
Kinetic 4,Pei Ho Street Sports Centre,2.5,1.875,0.625
X-Alpha 5,Tai Po Sports Ground,2.888888888888889,2.8181818181818183,0.0707070707070705
Sha Tin 6,Cornwall Street Squash Centre,3.2222222222222223,3.2222222222222223,0.0
Fusion Squash Club 2,HK Squash Centre,2.75,2.875,-0.125
