Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Tuen Mun Squash Club,Cornwall Street Squash Centre,3.5,1.75,1.75
The Squash Club 3,Cornwall Street Squash Centre,4.0,2.5,1.5
HKCC Tuesday Night Rockers,Hong Kong Cricket Club,3.0,1.6,1.4
Invader Squash,Harbour Road Sports Centre,2.0,1.2222222222222223,0.7777777777777777
7NT,Cornwall Street Squash Centre,2.5,1.75,0.75
Global Squash 2,Harbour Road Sports Centre,2.7142857142857144,2.2222222222222223,0.4920634920634921
BOSS,Cornwall Street Squash Centre,3.6666666666666665,3.25,0.4166666666666665
Sha Tin 5,Cornwall Street Squash Centre,3.75,3.75,0.0
Star River 1,Cornwall Street Squash Centre,2.5,3.0,-0.5
Kinetic 3,HK Squash Centre,2.2,2.7142857142857144,-0.5142857142857142
i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,2.0,3.3333333333333335,-1.3333333333333335
