Home Team,Away Team,Venue,Match Week,Date
X-Alpha 2,The Squash Club 1,Cornwall Street Squash Centre,2,2024-10-18
Uncle,Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,2,2024-10-18
Physical Chess 1,Squashathon,Cornwall Street Squash Centre,2,2024-10-18
The Squash Club 1,Physical Chess 1,Cornwall Street Squash Centre,3,2024-10-25
i-Mask Advance Squash Club 1,Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,4,2024-11-01
Physical Chess 1,Uncle,Cornwall Street Squash Centre,4,2024-11-01
Hong Kong Racketlon Association 1,X-Alpha 2,Cornwall Street Squash Centre,5,2024-11-08
The Squash Club 1,Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,6,2024-11-15
i-Mask Advance Squash Club 1,Uncle,Cornwall Street Squash Centre,6,2024-11-15
Squashathon,The Squash Club 1,Cornwall Street Squash Centre,7,2024-11-22
Happy Squash 2,Physical Chess 1,Cornwall Street Squash Centre,7,2024-11-22
The Squash Club 1,Uncle,Cornwall Street Squash Centre,8,2024-11-29
Physical Chess 1,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,8,2024-11-29
i-Mask Advance Squash Club 1,X-Alpha 2,Cornwall Street Squash Centre,9,2024-12-13
Hong Kong Racketlon Association 1,Physical Chess 1,Cornwall Street Squash Centre,9,2024-12-13
Hong Kong Football Club 5B,Hong Kong Football Club 5A,Hong Kong Football Club,10,2025-01-03
Squashathon,Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,10,2025-01-03
i-Mask Advance Squash Club 1,The Squash Club 1,Cornwall Street Squash Centre,10,2025-01-03
Physical Chess 1,X-Alpha 2,Cornwall Street Squash Centre,10,2025-01-03
The Squash Club 1,X-Alpha 2,Cornwall Street Squash Centre,11,2025-01-10
Hong Kong Racketlon Association 1,Uncle,Cornwall Street Squash Centre,11,2025-01-10
Squashathon,Physical Chess 1,Cornwall Street Squash Centre,11,2025-01-10
Physical Chess 1,The Squash Club 1,Cornwall Street Squash Centre,12,2025-01-17
Uncle,Physical Chess 1,Cornwall Street Squash Centre,13,2025-01-24
Squashathon,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,14,2025-02-07
X-Alpha 2,Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,14,2025-02-07
Hong Kong Racketlon Association 1,The Squash Club 1,Cornwall Street Squash Centre,15,2025-02-14
Squashathon,X-Alpha 2,Cornwall Street Squash Centre,15,2025-02-14
Uncle,i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,15,2025-02-14
X-Alpha 2,Uncle,Cornwall Street Squash Centre,16,2025-02-21
The Squash Club 1,Squashathon,Cornwall Street Squash Centre,16,2025-02-21
Uncle,The Squash Club 1,Cornwall Street Squash Centre,17,2025-02-28
i-Mask Advance Squash Club 1,Physical Chess 1,Cornwall Street Squash Centre,17,2025-02-28
