Home Team,Away Team,Venue,Match Week,Date
Physical Chess 2,Twister 2,Cornwall Street Squash Centre,6,2024-11-06
Xavier,Physical Chess 2,Cornwall Street Squash Centre,7,2024-11-13
The Squash Club 2,Physical Chess 2,Cornwall Street Squash Centre,8,2024-11-20
Xavier,Twister 2,Cornwall Street Squash Centre,8,2024-11-20
Twister 2,The Squash Club 2,Cornwall Street Squash Centre,9,2024-11-27
Twister 2,Physical Chess 2,Cornwall Street Squash Centre,12,2025-01-15
Physical Chess 2,Xavier,Cornwall Street Squash Centre,13,2025-01-22
Physical Chess 2,The Squash Club 2,Cornwall Street Squash Centre,14,2025-02-12
Twister 2,Xavier,Cornwall Street Squash Centre,14,2025-02-12
The Squash Club 2,Twister 2,Cornwall Street Squash Centre,15,2025-02-19
Xavier,The Squash Club 2,Cornwall Street Squash Centre,16,2025-02-26
Physical Chess 2,Twister 2,Cornwall Street Squash Centre,19,2025-03-19
Xavier,Physical Chess 2,Cornwall Street Squash Centre,20,2025-03-26
The Squash Club 2,Xavier,Cornwall Street Squash Centre,21,2025-04-02
