Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club 14A,Ladies Recreation Club Div 14,Hong Kong Football Club,13,2025-02-22
Electrify Squash Div 14,North District Sports Association 3,HK Squash Centre,14,2025-03-01
8 Virtues + 1,Ladies Recreation Club Div 14,Java Road Sports Centre,14,2025-03-01
X-Alpha 6,Kowloon Cricket Club 14,Cornwall Street Squash Centre,14,2025-03-01
Hong Kong Football Club 14A,Hong Kong Football Club 14B,Hong Kong Football Club,14,2025-03-01
North District Sports Association 3,Kowloon Cricket Club 14,Cornwall Street Squash Centre,15,2025-03-08
Ladies Recreation Club Div 14,X-Alpha 6,Ladies Recreation Club,15,2025-03-08
Hong Kong Football Club 14B,8 Virtues + 1,Hong Kong Football Club,15,2025-03-08
Electrify Squash Div 14,Hong Kong Football Club 14A,HK Squash Centre,15,2025-03-08
Hong Kong Football Club 14A,North District Sports Association 3,Hong Kong Football Club,16,2025-03-15
8 Virtues + 1,Electrify Squash Div 14,Java Road Sports Centre,16,2025-03-15
X-Alpha 6,Hong Kong Football Club 14B,Cornwall Street Squash Centre,16,2025-03-15
Kowloon Cricket Club 14,Ladies Recreation Club Div 14,Kowloon Cricket Club,16,2025-03-15
North District Sports Association 3,Ladies Recreation Club Div 14,Cornwall Street Squash Centre,17,2025-03-22
Hong Kong Football Club 14B,Kowloon Cricket Club 14,Hong Kong Football Club,17,2025-03-22
Electrify Squash Div 14,X-Alpha 6,HK Squash Centre,17,2025-03-22
Hong Kong Football Club 14A,8 Virtues + 1,Hong Kong Football Club,17,2025-03-22
8 Virtues + 1,North District Sports Association 3,Java Road Sports Centre,18,2025-03-29
X-Alpha 6,Hong Kong Football Club 14A,Cornwall Street Squash Centre,18,2025-03-29
Kowloon Cricket Club 14,Electrify Squash Div 14,Kowloon Cricket Club,18,2025-03-29
Ladies Recreation Club Div 14,Hong Kong Football Club 14B,Ladies Recreation Club,18,2025-03-29
Hong Kong Football Club 14B,North District Sports Association 3,Hong Kong Football Club,19,2025-04-05
Electrify Squash Div 14,Ladies Recreation Club Div 14,HK Squash Centre,19,2025-04-05
Hong Kong Football Club 14A,Kowloon Cricket Club 14,Hong Kong Football Club,19,2025-04-05
8 Virtues + 1,X-Alpha 6,Java Road Sports Centre,19,2025-04-05
North District Sports Association 3,X-Alpha 6,Cornwall Street Squash Centre,20,2025-04-12
Kowloon Cricket Club 14,8 Virtues + 1,Kowloon Cricket Club,20,2025-04-12
Ladies Recreation Club Div 14,Hong Kong Football Club 14A,Ladies Recreation Club,20,2025-04-12
Hong Kong Football Club 14B,Electrify Squash Div 14,Hong Kong Football Club,20,2025-04-12
North District Sports Association 3,X-Alpha 6,Cornwall Street Squash Centre,21,2025-04-26
Kowloon Cricket Club 14,8 Virtues + 1,Kowloon Cricket Club,21,2025-04-26
Ladies Recreation Club Div 14,Hong Kong Football Club 14A,Ladies Recreation Club,21,2025-04-26
Hong Kong Football Club 14B,Electrify Squash Div 14,Hong Kong Football Club,21,2025-04-26
