Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club M3A,Hong Kong Cricket Club M3,Hong Kong Football Club,3,2024-10-17
Old Squash Fellows,United Services Recreation Club M3,Masters - HK Squash Centre,3,2024-10-17
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3B,Royal Hong Kong Yacht Club,3,2024-10-17
Kowloon Cricket Club M3,Titlows Squash Team,Kowloon Cricket Club,3,2024-10-17
Hong Kong Cricket Club M3,Titlows Squash Team,Hong Kong Cricket Club,4,2024-10-24
Hong Kong Football Club M3B,Kowloon Cricket Club M3,Hong Kong Football Club,4,2024-10-24
United Services Recreation Club M3,Royal Hong Kong Yacht Club M3,United Services Recreation Club,4,2024-10-24
Hong Kong Football Club M3A,Old Squash Fellows,Hong Kong Football Club,4,2024-10-24
Old Squash Fellows,Hong Kong Cricket Club M3,Masters - HK Squash Centre,5,2024-10-31
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3A,Royal Hong Kong Yacht Club,5,2024-10-31
Kowloon Cricket Club M3,United Services Recreation Club M3,Kowloon Cricket Club,5,2024-10-31
Hong Kong Football Club M3B,Titlows Squash Team,Hong Kong Football Club,5,2024-10-31
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club,6,2024-11-07
United Services Recreation Club M3,Titlows Squash Team,United Services Recreation Club,6,2024-11-07
Hong Kong Football Club M3A,Kowloon Cricket Club M3,Hong Kong Football Club,6,2024-11-07
Old Squash Fellows,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,6,2024-11-07
Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club,7,2024-11-14
Kowloon Cricket Club M3,Old Squash Fellows,Kowloon Cricket Club,7,2024-11-14
Titlows Squash Team,Hong Kong Football Club M3A,Masters - HK Squash Centre,7,2024-11-14
Hong Kong Football Club M3B,United Services Recreation Club M3,Hong Kong Football Club,7,2024-11-14
Hong Kong Cricket Club M3,United Services Recreation Club M3,Hong Kong Cricket Club,8,2024-11-21
Titlows Squash Team,Old Squash Fellows,Masters - HK Squash Centre,8,2024-11-21
Kowloon Cricket Club M3,Royal Hong Kong Yacht Club M3,Kowloon Cricket Club,8,2024-11-21
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club,8,2024-11-21
Kowloon Cricket Club M3,Hong Kong Cricket Club M3,Kowloon Cricket Club,9,2024-11-28
Royal Hong Kong Yacht Club M3,Titlows Squash Team,Royal Hong Kong Yacht Club,9,2024-11-28
Old Squash Fellows,Hong Kong Football Club M3B,Masters - HK Squash Centre,9,2024-11-28
Hong Kong Football Club M3A,United Services Recreation Club M3,Hong Kong Football Club,9,2024-11-28
