Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Striving Squash,Squashathon Zero,Kwun Chung Sports Centre,1,04/10/2024,3-2,"['3-0', '3-0', '1-3', '3-2', '1-3']",3,2,11,8,Striving Squash,Striving Squash,Squashathon Zero,Striving Squash,Squashathon Zero
i-Mask Advance Squash Club 2,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,1,04/10/2024,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8
TOMCAT,Physical Chess 3,Cornwall Street Squash Centre,1,04/10/2024,2-3,"['0-3', '3-0', '3-1', '1-3', '1-3']",2,3,8,10,Physical Chess 3,TOMCAT,TOMCAT,Physical Chess 3,Physical Chess 3
Kinetic 2,Hong Kong Football Club 8,Yuen Long Jockey Club Squash Courts,1,04/10/2024,0-5,"['0-3', '1-3', '2-3', '1-3', '0-3']",0,5,4,15,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8
Sha Tin 3,Kinetic 2,Cornwall Street Squash Centre,2,18/10/2024,5-0,"['3-0', '3-0', '3-0', '3-1', '3-0']",5,0,15,1,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3
Hong Kong Football Club 8,TOMCAT,Hong Kong Football Club,2,18/10/2024,3-2,"['1-3', '1-3', '3-0', '3-0', 'CR']",3,2,11,6,TOMCAT,TOMCAT,Hong Kong Football Club 8,Hong Kong Football Club 8,
Physical Chess 3,i-Mask Advance Squash Club 2,Cornwall Street Squash Centre,2,18/10/2024,3-2,"['3-0', '1-3', '1-3', '3-0', '3-0']",3,2,11,6,Physical Chess 3,i-Mask Advance Squash Club 2,i-Mask Advance Squash Club 2,Physical Chess 3,Physical Chess 3
Ladies Recreation Club Div 8,Striving Squash,Ladies Recreation Club,2,18/10/2024,3-2,"['1-3', '3-0', '3-1', '0-3', '3-1']",3,2,10,8,Striving Squash,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Striving Squash,Ladies Recreation Club Div 8
Squashathon Zero,Ladies Recreation Club Div 8,Cornwall Street Squash Centre,3,25/10/2024,2-3,"['1-3', '0-3', '2-3', '3-2', 'CR']",2,3,6,14,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Squashathon Zero,
Striving Squash,Physical Chess 3,Kwun Chung Sports Centre,3,25/10/2024,1-4,"['3-0', '0-3', '1-3', '0-3', '0-3']",1,4,4,12,Striving Squash,Physical Chess 3,Physical Chess 3,Physical Chess 3,Physical Chess 3
i-Mask Advance Squash Club 2,Hong Kong Football Club 8,Cornwall Street Squash Centre,3,25/10/2024,2-3,"['3-0', '1-3', '3-0', '0-3', '0-3']",2,3,7,9,i-Mask Advance Squash Club 2,Hong Kong Football Club 8,i-Mask Advance Squash Club 2,Hong Kong Football Club 8,Hong Kong Football Club 8
TOMCAT,Sha Tin 3,Cornwall Street Squash Centre,3,25/10/2024,0-5,"['2-3', '1-3', '1-3', '0-3', 'CR']",0,5,4,15,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3,
Kinetic 2,TOMCAT,Yuen Long Jockey Club Squash Courts,4,01/11/2024,3-2,"['0-3', '1-3', '3-1', '3-0', 'CR']",3,2,10,7,TOMCAT,TOMCAT,Kinetic 2,Kinetic 2,
Sha Tin 3,i-Mask Advance Squash Club 2,HK Squash Centre,4,01/11/2024,5-0,"['3-0', '3-0', '3-1', '3-1', '3-0']",5,0,15,2,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3,Sha Tin 3
Hong Kong Football Club 8,Striving Squash,Hong Kong Football Club,4,01/11/2024,5-0,"['3-2', '3-0', '3-0', '3-0', '3-1']",5,0,15,3,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8,Hong Kong Football Club 8
Physical Chess 3,Squashathon Zero,Cornwall Street Squash Centre,4,01/11/2024,2-3,"['0-3', '3-1', '0-3', '1-3', '3-1']",2,3,7,11,Squashathon Zero,Physical Chess 3,Squashathon Zero,Squashathon Zero,Physical Chess 3
Ladies Recreation Club Div 8,Physical Chess 3,Ladies Recreation Club,5,08/11/2024,3-2,"['3-2', '3-2', '3-1', '1-3', '2-3']",3,2,12,11,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Ladies Recreation Club Div 8,Physical Chess 3,Physical Chess 3
Hong Kong Football Club 8,Squashathon Zero,Hong Kong Football Club,5,08/11/2024,3-2,"['3-0', '2-3', '3-1', '3-1', '0-3']",3,2,11,8,Hong Kong Football Club 8,Squashathon Zero,Hong Kong Football Club 8,Hong Kong Football Club 8,Squashathon Zero
Sha Tin 3,Striving Squash,Cornwall Street Squash Centre,5,08/11/2024,3-2,"['1-3', '2-3', '3-0', '3-0', '3-0']",3,2,12,6,Striving Squash,Striving Squash,Sha Tin 3,Sha Tin 3,Sha Tin 3
