Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Energy Squash Club 1,Energy Squash Club 2,Pei Ho Street Sports Centre,1,04/10/2024,4-1,"['3-0', '1-3', '3-0', 'CR', 'CR']",4,1,13,3,Energy Squash Club 1,Energy Squash Club 2,Energy Squash Club 1,,
HKIS Div 13,Sha Tin 6,Java Road Sports Centre,1,04/10/2024,1-4,"['0-3', '0-3', '3-0', '2-3', 'CR']",1,4,5,12,Sha Tin 6,Sha Tin 6,HKIS Div 13,Sha Tin 6,
SocGen Squash,Kinetic 4,HK Squash Centre,1,04/10/2024,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1,SocGen Squash,SocGen Squash,SocGen Squash,SocGen Squash,SocGen Squash
Fusion Squash Club 2,i-Mask Advance Squash Club 5,HK Squash Centre,1,04/10/2024,3-2,"['1-3', '3-0', '0-3', '3-0', '3-0']",3,2,10,6,i-Mask Advance Squash Club 5,Fusion Squash Club 2,i-Mask Advance Squash Club 5,Fusion Squash Club 2,Fusion Squash Club 2
X-Alpha 5,Happy Squash 4,Tai Po Sports Ground,1,04/10/2024,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,X-Alpha 5,X-Alpha 5,X-Alpha 5,X-Alpha 5,X-Alpha 5
Electrify Squash Div 13,Yuen Long District Sports Association Limited,HK Squash Centre,1,04/10/2024,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13
Electrify Squash Div 13,X-Alpha 5,HK Squash Centre,2,18/10/2024,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3,X-Alpha 5,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13
Energy Squash Club 1,Happy Squash 4,Pei Ho Street Sports Centre,2,18/10/2024,4-1,"['3-0', '2-3', '3-0', '3-0', '3-0']",4,1,14,3,Energy Squash Club 1,Happy Squash 4,Energy Squash Club 1,Energy Squash Club 1,Energy Squash Club 1
Energy Squash Club 2,Fusion Squash Club 2,Harbour Road Sports Centre,2,18/10/2024,2-3,"['0-3', '0-3', '3-1', '3-1', '0-3']",2,3,6,11,Fusion Squash Club 2,Fusion Squash Club 2,Energy Squash Club 2,Energy Squash Club 2,Fusion Squash Club 2
SocGen Squash,i-Mask Advance Squash Club 5,HK Squash Centre,2,18/10/2024,2-3,"['0-3', '3-0', '3-1', 'CR', 'CR']",2,3,6,10,i-Mask Advance Squash Club 5,SocGen Squash,SocGen Squash,,
