Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
i-Mask Advance Squash Club 4,v,Invader Squash,Cornwall Street Squash Centre,19:00,"2-3(1-3,3-2,3-0,0-3,1-3)",1,08/10/2024
Kinetic 3,v,Global Squash 2,HK Squash Centre,19:00,"3-2(0-3,2-3,3-0,3-0,3-1)",1,08/10/2024
The Squash Club 3,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,"2-3(0-3,0-3,3-1,0-3,3-0)",1,08/10/2024
Star River 1,v,HKCC Tuesday Night Rockers,Cornwall Street Squash Centre,19:00,"4-1(2-3,3-0,3-1,3-1,3-1)",1,08/10/2024
Tuen Mun Squash Club,v,BOSS,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,0-3,1-3,0-3)",1,08/10/2024
7NT,v,[BYE],,,,1,08/10/2024
Tuen Mun Squash Club,v,HKCC Tuesday Night Rockers,Cornwall Street Squash Centre,19:00,"3-2(3-0,3-0,3-0,2-3,0-3)",2,15/10/2024
Sha Tin 5,v,Star River 1,Cornwall Street Squash Centre,19:00,"4-1(3-1,3-0,3-0,2-3,3-2)",2,15/10/2024
Global Squash 2,v,The Squash Club 3,Harbour Road Sports Centre,19:00,"3-2(3-0,1-3,0-3,3-2,3-2)",2,15/10/2024
Invader Squash,v,Kinetic 3,HK Squash Centre,19:00,"2-3(3-1,3-2,0-3,1-3,0-3)",2,15/10/2024
7NT,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,"3-2(0-3,3-0,3-1,2-3,3-1)",2,15/10/2024
BOSS,v,[BYE],,,,2,15/10/2024
Kinetic 3,v,7NT,HK Squash Centre,19:00,"3-2(3-1,3-1,2-3,3-0,0-3)",3,22/10/2024
The Squash Club 3,v,Invader Squash,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-0,3-0,3-0,3-0)",3,22/10/2024
Star River 1,v,Global Squash 2,Cornwall Street Squash Centre,19:00,"2-3(0-3,0-3,3-2,2-3,3-1)",3,22/10/2024
Tuen Mun Squash Club,v,Sha Tin 5,Cornwall Street Squash Centre,19:00,"1-4(0-3,0-3,3-2,2-3,0-3)",3,22/10/2024
BOSS,v,HKCC Tuesday Night Rockers,Cornwall Street Squash Centre,19:00,"4-1(0-3,3-1,3-0,3-0,3-0)",3,22/10/2024
i-Mask Advance Squash Club 4,v,[BYE],,,,3,22/10/2024
Sha Tin 5,v,BOSS,Cornwall Street Squash Centre,19:00,"3-2(3-0,3-0,3-1,0-3,1-3)",4,29/10/2024
Global Squash 2,v,Tuen Mun Squash Club,Harbour Road Sports Centre,19:00,"3-2(3-0,3-0,3-0,0-3,0-3)",4,29/10/2024
Invader Squash,v,Star River 1,HK Squash Centre,19:00,"2-3(0-3,0-3,2-3,3-0,3-2)",4,29/10/2024
7NT,v,The Squash Club 3,Cornwall Street Squash Centre,19:00,"2-3(1-3,0-3,0-3,3-0,3-0)",4,29/10/2024
i-Mask Advance Squash Club 4,v,Kinetic 3,Cornwall Street Squash Centre,19:00,"2-3(0-3,1-3,3-2,0-3,3-0)",4,29/10/2024
HKCC Tuesday Night Rockers,v,[BYE],,,,4,29/10/2024
The Squash Club 3,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,"3-2(3-0,1-3,1-3,3-1,3-0)",5,05/11/2024
Star River 1,v,7NT,Cornwall Street Squash Centre,19:00,"3-2(3-0,1-3,1-3,3-1,3-1)",5,05/11/2024
Tuen Mun Squash Club,v,Invader Squash,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",5,05/11/2024
BOSS,v,Global Squash 2,Cornwall Street Squash Centre,19:00,"3-2(0-3,0-3,3-0,3-0,3-0)",5,05/11/2024
HKCC Tuesday Night Rockers,v,Sha Tin 5,Hong Kong Cricket Club,19:00,"1-4(3-1,0-3,0-3,1-3,1-3)",5,05/11/2024
Kinetic 3,v,[BYE],,,,5,05/11/2024
Global Squash 2,v,HKCC Tuesday Night Rockers,Harbour Road Sports Centre,19:00,"4-1(3-0,2-3,3-0,3-0,3-0)",6,12/11/2024
Invader Squash,v,BOSS,HK Squash Centre,19:00,"1-4(3-0,2-3,0-3,0-3,0-3)",6,12/11/2024
7NT,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00,"2-3(3-0,0-3,0-3,3-2,2-3)",6,12/11/2024
i-Mask Advance Squash Club 4,v,Star River 1,Cornwall Street Squash Centre,19:00,"3-2(3-2,0-3,0-3,3-0,3-1)",6,12/11/2024
