Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Ladies Recreation Club M2A,v,Ladies Recreation Club M2B,Ladies Recreation Club,19:00,"1-3(3-0,2-3,0-3,0-3)",1,02/10/2024
Hong Kong Football Club M2A,v,Hong Kong Football Club M2B,Hong Kong Football Club,19:00,"1-3(3-0,1-3,1-3,2-3)",1,02/10/2024
Hong Kong Cricket Club M2A,v,Hong Kong Cricket Club M2B,Hong Kong Cricket Club,19:00,"2-2(3-0,1-3,3-0,0-3)",1,02/10/2024
Ladies Recreation Club M2B,v,Hong Kong Cricket Club M2B,Ladies Recreation Club,19:00,"1-3(0-3,0-3,3-2,1-3)",2,09/10/2024
Hong Kong Football Club M2B,v,Hong Kong Cricket Club M2A,Hong Kong Football Club,19:00,"3-1(3-0,3-2,1-3,3-0)",2,09/10/2024
Hong Kong Football Club M2A,v,Ladies Recreation Club M2A,Hong Kong Football Club,19:00,"3-1(0-3,3-1,3-0,3-0)",2,09/10/2024
Hong Kong Football Club M2A,v,Ladies Recreation Club M2B,Hong Kong Football Club,19:00,"3-1(3-0,1-3,3-1,3-0)",3,16/10/2024
Ladies Recreation Club M2A,v,Hong Kong Cricket Club M2A,Ladies Recreation Club,19:00,"2-2(3-1,3-1,0-3,0-3)",3,16/10/2024
Hong Kong Cricket Club M2B,v,Hong Kong Football Club M2B,Hong Kong Cricket Club,19:00,"3-1(3-0,2-3,3-1,3-0)",3,16/10/2024
Ladies Recreation Club M2B,v,Hong Kong Football Club M2B,Ladies Recreation Club,19:00,"0-4(0-3,1-3,0-3,CR)",4,23/10/2024
Hong Kong Cricket Club M2B,v,Ladies Recreation Club M2A,Hong Kong Cricket Club,19:00,"2-2(0-3,3-2,3-0,1-3)",4,23/10/2024
Hong Kong Football Club M2A,v,Hong Kong Cricket Club M2A,Hong Kong Football Club,19:00,"3-1(3-1,0-3,3-1,3-0)",4,23/10/2024
Hong Kong Cricket Club M2A,v,Ladies Recreation Club M2B,Hong Kong Cricket Club,19:00,"3-1(3-0,1-3,3-1,3-1)",5,30/10/2024
Hong Kong Cricket Club M2B,v,Hong Kong Football Club M2A,Hong Kong Cricket Club,19:00,"1-3(0-3,3-2,0-3,1-3)",5,30/10/2024
Ladies Recreation Club M2A,v,Hong Kong Football Club M2B,Ladies Recreation Club,19:00,"1-3(3-1,1-3,0-3,CR)",5,30/10/2024
Ladies Recreation Club M2B,v,Ladies Recreation Club M2A,Ladies Recreation Club,19:00,"3-1(3-0,3-1,3-1,WO)",6,06/11/2024
Hong Kong Football Club M2B,v,Hong Kong Football Club M2A,Hong Kong Football Club,19:00,"2-2(1-3,3-1,1-3,3-1)",6,06/11/2024
Hong Kong Cricket Club M2B,v,Hong Kong Cricket Club M2A,Hong Kong Cricket Club,19:00,"1-3(0-3,2-3,3-1,0-3)",6,06/11/2024
Hong Kong Cricket Club M2B,v,Ladies Recreation Club M2B,Hong Kong Cricket Club,19:00,"3-1(3-0,0-3,3-0,CR)",7,13/11/2024
Hong Kong Cricket Club M2A,v,Hong Kong Football Club M2B,Hong Kong Cricket Club,19:00,"1-3(0-3,3-0,1-3,2-3)",7,13/11/2024
Ladies Recreation Club M2A,v,Hong Kong Football Club M2A,Ladies Recreation Club,19:00,"2-2(3-0,0-3,3-1,0-3)",7,13/11/2024
Ladies Recreation Club M2B,v,Hong Kong Football Club M2A,Ladies Recreation Club,19:00,"1-3(1-3,3-0,CR,CR)",8,20/11/2024
Hong Kong Cricket Club M2A,v,Ladies Recreation Club M2A,Hong Kong Cricket Club,19:00,"2-2(3-0,2-3,2-3,3-2)",8,20/11/2024
Hong Kong Football Club M2B,v,Hong Kong Cricket Club M2B,Hong Kong Football Club,19:00,"3-1(3-0,3-0,2-3,3-1)",8,20/11/2024
Hong Kong Football Club M2B,v,Ladies Recreation Club M2B,Hong Kong Football Club,19:00,"4-0(3-1,3-0,3-0,3-0)",9,27/11/2024
Ladies Recreation Club M2A,v,Hong Kong Cricket Club M2B,Ladies Recreation Club,19:00,"2-2(3-2,1-3,1-3,CR)",9,27/11/2024
Hong Kong Cricket Club M2A,v,Hong Kong Football Club M2A,Hong Kong Cricket Club,19:00,"1-3(2-3,3-2,1-3,1-3)",9,27/11/2024
Ladies Recreation Club M2A,v,Ladies Recreation Club M2B,Ladies Recreation Club,19:00,"3-1(3-0,3-1,3-2,1-3)",10,18/12/2024
Hong Kong Football Club M2A,v,Hong Kong Football Club M2B,HK Squash Centre,19:00,"1-3(3-2,1-3,0-3,2-3)",10,18/12/2024
Hong Kong Cricket Club M2A,v,Hong Kong Cricket Club M2B,Hong Kong Cricket Club,19:00,"4-0(3-0,3-2,3-1,3-1)",10,18/12/2024
Ladies Recreation Club M2B,v,Hong Kong Cricket Club M2B,Ladies Recreation Club,19:00,"0-4(1-3,1-3,0-3,CR)",11,08/01/2025
Hong Kong Football Club M2B,v,Hong Kong Cricket Club M2A,Hong Kong Football Club,19:00,"2-2(3-1,1-3,1-3,3-0)",11,08/01/2025
Hong Kong Football Club M2A,v,Ladies Recreation Club M2A,Hong Kong Football Club,19:00,"3-1(0-3,3-0,3-0,3-0)",11,08/01/2025
Hong Kong Football Club M2A,v,Ladies Recreation Club M2B,Hong Kong Football Club,19:00,,12,15/01/2025
Ladies Recreation Club M2A,v,Hong Kong Cricket Club M2A,Ladies Recreation Club,19:00,,12,15/01/2025
Hong Kong Cricket Club M2B,v,Hong Kong Football Club M2B,Hong Kong Cricket Club,19:00,,12,15/01/2025
Ladies Recreation Club M2B,v,Hong Kong Football Club M2B,Ladies Recreation Club,19:00,,13,22/01/2025
Hong Kong Cricket Club M2B,v,Ladies Recreation Club M2A,Hong Kong Cricket Club,19:00,,13,22/01/2025
Hong Kong Football Club M2A,v,Hong Kong Cricket Club M2A,Hong Kong Football Club,19:00,,13,22/01/2025
Hong Kong Cricket Club M2A,v,Ladies Recreation Club M2B,Hong Kong Cricket Club,19:00,,14,12/02/2025
Hong Kong Cricket Club M2B,v,Hong Kong Football Club M2A,Hong Kong Cricket Club,19:00,,14,12/02/2025
Ladies Recreation Club M2A,v,Hong Kong Football Club M2B,Ladies Recreation Club,19:00,,14,12/02/2025
Ladies Recreation Club M2B,v,Ladies Recreation Club M2A,Ladies Recreation Club,19:00,,15,19/02/2025
Hong Kong Football Club M2B,v,Hong Kong Football Club M2A,Hong Kong Football Club,19:00,,15,19/02/2025
Hong Kong Cricket Club M2B,v,Hong Kong Cricket Club M2A,Hong Kong Cricket Club,19:00,,15,19/02/2025
Hong Kong Cricket Club M2B,v,Ladies Recreation Club M2B,Hong Kong Cricket Club,19:00,,16,26/02/2025
Hong Kong Cricket Club M2A,v,Hong Kong Football Club M2B,Hong Kong Cricket Club,19:00,,16,26/02/2025
Ladies Recreation Club M2A,v,Hong Kong Football Club M2A,Ladies Recreation Club,19:00,,16,26/02/2025
Ladies Recreation Club M2B,v,Hong Kong Football Club M2A,Ladies Recreation Club,19:00,,17,05/03/2025
Hong Kong Cricket Club M2A,v,Ladies Recreation Club M2A,Hong Kong Cricket Club,19:00,,17,05/03/2025
Hong Kong Football Club M2B,v,Hong Kong Cricket Club M2B,Hong Kong Football Club,19:00,,17,05/03/2025
Hong Kong Football Club M2B,v,Ladies Recreation Club M2B,Hong Kong Football Club,19:00,,18,12/03/2025
Ladies Recreation Club M2A,v,Hong Kong Cricket Club M2B,Ladies Recreation Club,19:00,,18,12/03/2025
Hong Kong Cricket Club M2A,v,Hong Kong Football Club M2A,Hong Kong Cricket Club,19:00,,18,12/03/2025
Ladies Recreation Club M2B,v,Hong Kong Cricket Club M2A,Ladies Recreation Club,19:00,,19,19/03/2025
Hong Kong Football Club M2A,v,Hong Kong Cricket Club M2B,Hong Kong Football Club,19:00,,19,19/03/2025
Hong Kong Football Club M2B,v,Ladies Recreation Club M2A,Hong Kong Football Club,19:00,,19,19/03/2025
