Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
JESSICA L1,v,Hong Kong Cricket Club L1,HK Squash Centre,19:00,"2-1(0-3,3-1,3-0)",1,10/10/2024
Kowloon Cricket Club L1A,v,Kowloon Cricket Club L1B,Kowloon Cricket Club,19:00,"2-1(1-3,3-0,3-2)",1,10/10/2024
Hong Kong Football Club L1,v,[BYE],,,,1,10/10/2024
Kowloon Cricket Club L1B,v,JESSICA L1,Kowloon Cricket Club,19:00,"0-3(1-3,0-3,0-3)",2,17/10/2024
Hong Kong Football Club L1,v,Kowloon Cricket Club L1A,Hong Kong Football Club,19:00,"2-1(3-0,0-3,3-0)",2,17/10/2024
Hong Kong Cricket Club L1,v,[BYE],,,,2,17/10/2024
JESSICA L1,v,Hong Kong Football Club L1,HK Squash Centre,19:00,"3-0(3-1,3-0,3-0)",3,24/10/2024
Hong Kong Cricket Club L1,v,Kowloon Cricket Club L1B,Hong Kong Cricket Club,19:00,"0-3(0-3,0-3,0-3)",3,24/10/2024
Kowloon Cricket Club L1A,v,[BYE],,,,3,24/10/2024
Hong Kong Football Club L1,v,Hong Kong Cricket Club L1,Hong Kong Football Club,19:00,"2-1(2-3,3-0,3-1)",4,21/11/2024
Kowloon Cricket Club L1A,v,JESSICA L1,Kowloon Cricket Club,19:00,"3-0(3-1,3-0,3-0)",4,21/11/2024
Kowloon Cricket Club L1B,v,[BYE],,,,4,21/11/2024
Hong Kong Cricket Club L1,v,Kowloon Cricket Club L1A,Hong Kong Cricket Club,19:00,"0-3(0-3,1-3,0-3)",5,28/11/2024
Kowloon Cricket Club L1B,v,Hong Kong Football Club L1,Kowloon Cricket Club,19:00,"2-1(2-3,3-1,3-0)",5,28/11/2024
JESSICA L1,v,[BYE],,,,5,28/11/2024
Hong Kong Cricket Club L1,v,JESSICA L1,Hong Kong Cricket Club,19:00,"0-3(1-3,0-3,0-3)",6,16/01/2025
Kowloon Cricket Club L1B,v,Kowloon Cricket Club L1A,Kowloon Cricket Club,19:00,"2-1(3-0,3-1,0-3)",6,16/01/2025
Hong Kong Football Club L1,v,[BYE],,,,6,16/01/2025
JESSICA L1,v,Kowloon Cricket Club L1B,HK Squash Centre,19:00,"1-2(3-0,2-3,0-3)",7,23/01/2025
Kowloon Cricket Club L1A,v,Hong Kong Football Club L1,Kowloon Cricket Club,19:00,"2-1(2-3,3-1,3-0)",7,23/01/2025
Hong Kong Cricket Club L1,v,[BYE],,,,7,23/01/2025
Hong Kong Football Club L1,v,JESSICA L1,Hong Kong Football Club,19:00,"2-1(3-1,3-0,1-3)",8,20/02/2025
Kowloon Cricket Club L1B,v,Hong Kong Cricket Club L1,Kowloon Cricket Club,19:00,"3-0(3-0,3-0,3-2)",8,20/02/2025
Kowloon Cricket Club L1A,v,[BYE],,,,8,20/02/2025
Hong Kong Cricket Club L1,v,Hong Kong Football Club L1,Hong Kong Cricket Club,19:00,,9,27/02/2025
JESSICA L1,v,Kowloon Cricket Club L1A,HK Squash Centre,19:00,,9,27/02/2025
Kowloon Cricket Club L1B,v,[BYE],,,,9,27/02/2025
Kowloon Cricket Club L1A,v,Hong Kong Cricket Club L1,Kowloon Cricket Club,19:00,,10,06/03/2025
Hong Kong Football Club L1,v,Kowloon Cricket Club L1B,Hong Kong Football Club,19:00,,10,06/03/2025
JESSICA L1,v,[BYE],,,,10,06/03/2025
