Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Squashathon One,v,Sha Tin 7,Cornwall Street Squash Centre,17:00,"3-2(3-0,3-2,0-3,3-0,0-3)",1,05/10/2024
HKIS Div 15,v,United Services Recreation Club 4,HK Squash Centre,17:00,"4-1(3-0,0-3,3-0,WO,WO)",1,05/10/2024
Hong Kong Cricket Club 8,v,Physical Chess 5,Hong Kong Cricket Club,17:00,"2-3(0-3,3-2,3-0,1-3,0-3)",1,05/10/2024
Royal Hong Kong Yacht Club Div 15,v,[BYE],,,,1,05/10/2024
United Services Recreation Club 4,v,Hong Kong Cricket Club 8,United Services Recreation Club,17:00,"3-2(3-0,3-0,3-0,0-3,CR)",2,12/10/2024
Sha Tin 7,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,"3-2(0-3,0-3,3-2,3-0,3-0)",2,12/10/2024
Royal Hong Kong Yacht Club Div 15,v,Squashathon One,Royal Hong Kong Yacht Club,17:00,"3-2(3-0,3-2,3-0,0-3,0-3)",2,12/10/2024
Physical Chess 5,v,[BYE],,,,2,12/10/2024
HKIS Div 15,v,Royal Hong Kong Yacht Club Div 15,HK Squash Centre,17:00,"1-4(3-2,1-3,0-3,0-3,0-3)",3,19/10/2024
Hong Kong Cricket Club 8,v,Sha Tin 7,Hong Kong Cricket Club,17:00,"5-0(3-0,3-0,3-0,3-0,CR)",3,19/10/2024
Physical Chess 5,v,United Services Recreation Club 4,Cornwall Street Squash Centre,17:00,"3-2(3-0,0-3,3-1,0-3,3-0)",3,19/10/2024
Squashathon One,v,[BYE],,,,3,19/10/2024
Sha Tin 7,v,Physical Chess 5,Cornwall Street Squash Centre,17:00,"2-3(3-2,2-3,3-0,0-3,1-3)",4,26/10/2024
Royal Hong Kong Yacht Club Div 15,v,Hong Kong Cricket Club 8,Royal Hong Kong Yacht Club,17:00,"4-1(3-0,3-0,3-0,3-0,0-3)",4,26/10/2024
Squashathon One,v,HKIS Div 15,Cornwall Street Squash Centre,17:00,"2-3(2-3,2-3,2-3,3-0,3-0)",4,26/10/2024
United Services Recreation Club 4,v,[BYE],,,,4,26/10/2024
Hong Kong Cricket Club 8,v,Squashathon One,Hong Kong Cricket Club,17:00,"2-3(0-3,0-3,0-3,3-0,CR)",5,23/11/2024
Physical Chess 5,v,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,17:00,"2-3(1-3,2-3,0-3,3-0,3-0)",5,23/11/2024
United Services Recreation Club 4,v,Sha Tin 7,United Services Recreation Club,17:00,"2-3(0-3,0-3,3-0,3-0,0-3)",5,23/11/2024
HKIS Div 15,v,[BYE],,,,5,23/11/2024
Royal Hong Kong Yacht Club Div 15,v,United Services Recreation Club 4,Royal Hong Kong Yacht Club,17:00,"4-1(1-3,3-0,3-0,3-0,CR)",6,30/11/2024
Squashathon One,v,Physical Chess 5,Cornwall Street Squash Centre,17:00,"4-1(3-0,3-0,3-2,0-3,3-2)",6,30/11/2024
HKIS Div 15,v,Hong Kong Cricket Club 8,Java Road Sports Centre,17:00,"3-2(3-0,3-1,0-3,1-3,3-0)",6,30/11/2024
Sha Tin 7,v,[BYE],,,,6,30/11/2024
Sha Tin 7,v,Squashathon One,Cornwall Street Squash Centre,17:00,"2-3(0-3,2-3,3-0,3-1,0-3)",7,04/01/2025
United Services Recreation Club 4,v,HKIS Div 15,United Services Recreation Club,17:00,"3-2(3-2,0-3,0-3,3-0,3-0)",7,04/01/2025
