Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Football Club 1B,Hong Kong Cricket Club 1,Hong Kong Football Club,2,2024-10-17,1.921921921921922,2.078078078078078
Kowloon Cricket Club 1B,FWD,Kowloon Cricket Club,2,2024-10-17,1.991991991991992,2.008008008008008
Hong Kong Football Club 1A,Kowloon Cricket Club 1A,Hong Kong Football Club,2,2024-10-17,1.9489489489489489,2.051051051051051
Kowloon Cricket Club 1A,Hong Kong Football Club 1B,Kowloon Cricket Club,3,2024-10-24,2.155155155155155,1.844844844844845
FWD,Hong Kong Football Club 1A,HK Squash Centre,3,2024-10-24,1.901901901901902,2.098098098098098
Hong Kong Cricket Club 1,Kowloon Cricket Club 1B,Hong Kong Cricket Club,3,2024-10-24,2.1831831831831834,1.8168168168168168
Hong Kong Football Club 1B,Kowloon Cricket Club 1B,Hong Kong Football Club,4,2024-11-21,2.11011011011011,1.88988988988989
Hong Kong Cricket Club 1,Hong Kong Football Club 1A,Hong Kong Cricket Club,4,2024-11-21,2.024024024024024,1.975975975975976
Kowloon Cricket Club 1A,FWD,Kowloon Cricket Club,4,2024-11-21,2.124124124124124,1.8758758758758758
Hong Kong Football Club 1B,FWD,Hong Kong Football Club,5,2024-11-28,1.975975975975976,2.024024024024024
Hong Kong Cricket Club 1,Kowloon Cricket Club 1A,Hong Kong Cricket Club,5,2024-11-28,1.9639639639639639,2.036036036036036
Kowloon Cricket Club 1B,Hong Kong Football Club 1A,Kowloon Cricket Club,5,2024-11-28,1.82982982982983,2.17017017017017
Hong Kong Cricket Club 1,FWD,Hong Kong Cricket Club,6,2025-01-16,2.014014014014014,1.985985985985986
Hong Kong Football Club 1B,Hong Kong Football Club 1A,Hong Kong Football Club,6,2025-01-16,1.975975975975976,2.024024024024024
Kowloon Cricket Club 1B,Kowloon Cricket Club 1A,Kowloon Cricket Club,6,2025-01-16,1.822822822822823,2.1771771771771773
Hong Kong Cricket Club 1,Hong Kong Football Club 1B,Hong Kong Cricket Club,7,2025-01-23,2.081081081081081,1.9189189189189189
FWD,Kowloon Cricket Club 1B,HK Squash Centre,7,2025-01-23,2.1281281281281283,1.8718718718718719
Kowloon Cricket Club 1A,Hong Kong Football Club 1A,Kowloon Cricket Club,7,2025-01-23,2.078078078078078,1.921921921921922
Hong Kong Football Club 1B,Kowloon Cricket Club 1A,Hong Kong Football Club,8,2025-02-20,1.857857857857858,2.1421421421421423
Hong Kong Football Club 1A,FWD,Hong Kong Football Club,8,2025-02-20,2.126126126126126,1.8738738738738738
Kowloon Cricket Club 1B,Hong Kong Cricket Club 1,Kowloon Cricket Club,8,2025-02-20,1.7287287287287287,2.2712712712712713
Kowloon Cricket Club 1B,Hong Kong Football Club 1B,Kowloon Cricket Club,9,2025-02-27,1.985985985985986,2.014014014014014
Hong Kong Football Club 1A,Hong Kong Cricket Club 1,Hong Kong Football Club,9,2025-02-27,1.968968968968969,2.031031031031031
FWD,Kowloon Cricket Club 1A,HK Squash Centre,9,2025-02-27,1.86986986986987,2.13013013013013
FWD,Hong Kong Football Club 1B,HK Squash Centre,10,2025-03-06,1.9289289289289289,2.071071071071071
Kowloon Cricket Club 1A,Hong Kong Cricket Club 1,Kowloon Cricket Club,10,2025-03-06,2.096096096096096,1.9039039039039038
Hong Kong Football Club 1A,Kowloon Cricket Club 1B,Hong Kong Football Club,10,2025-03-06,2.1671671671671673,1.832832832832833
