Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Physical Chess 2,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,16,2025-02-26,3.138627725545109,2.861372274454891
Twister 2,Hong Kong Football Club 7B,Cornwall Street Squash Centre,16,2025-02-26,1.2618523704740947,4.738147629525905
Xavier,The Squash Club 2,Cornwall Street Squash Centre,16,2025-02-26,3.1204240848169635,2.8795759151830365
Hong Kong Football Club 7B,Xavier,Hong Kong Football Club,17,2025-03-05,3.4258851770354073,2.5741148229645927
Hong Kong Cricket Club 6,Twister 2,Hong Kong Cricket Club,17,2025-03-05,4.579515903180636,1.420484096819364
Kowloon Cricket Club 7,Physical Chess 2,Kowloon Cricket Club,17,2025-03-05,3.2890578115623126,2.7109421884376874
Twister 2,Kowloon Cricket Club 7,Cornwall Street Squash Centre,18,2025-03-12,1.574514902980596,4.425485097019404
Xavier,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,18,2025-03-12,3.3676735347069413,2.6323264652930587
Hong Kong Football Club 7B,The Squash Club 2,Hong Kong Football Club,18,2025-03-12,3.4520904180836167,2.5479095819163833
Hong Kong Cricket Club 6,The Squash Club 2,Hong Kong Cricket Club,19,2025-03-19,3.0472094418883775,2.9527905581116225
Kowloon Cricket Club 7,Xavier,Kowloon Cricket Club,19,2025-03-19,3.0820164032806563,2.9179835967193437
Physical Chess 2,Twister 2,Cornwall Street Squash Centre,19,2025-03-19,4.559311862372475,1.4406881376275256
Xavier,Physical Chess 2,Cornwall Street Squash Centre,20,2025-03-26,3.2456491298259653,2.7543508701740347
The Squash Club 2,Kowloon Cricket Club 7,Cornwall Street Squash Centre,20,2025-03-26,3.1084216843368675,2.8915783156631325
Hong Kong Cricket Club 6,Hong Kong Football Club 7B,Hong Kong Cricket Club,20,2025-03-26,2.675335067013403,3.324664932986597
Hong Kong Cricket Club 6,Physical Chess 2,Hong Kong Cricket Club,21,2025-04-02,3.1538307661532308,2.8461692338467692
Hong Kong Football Club 7B,Twister 2,Hong Kong Football Club,21,2025-04-02,4.9111822364472895,1.0888177635527105
The Squash Club 2,Xavier,Cornwall Street Squash Centre,21,2025-04-02,2.8949789957991596,3.1050210042008404
