Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
JESSICA Smashin' Mochi,Hong Kong Football Club L4,HK Squash Centre,5,2024-11-08,1.7575515103020605,2.2424484896979395
Hong Kong Cricket Club L4,i-Mask Advance Squash Club L4,Hong Kong Cricket Club,5,2024-11-08,2.945989197839568,1.0540108021604322
Hong Kong Football Club JSA,Electrify Squash Ladies,Hong Kong Football Club,5,2024-11-08,2.142628525705141,1.857371474294859
JESSICA L4,Electrify Squash Ladies,HK Squash Centre,6,2024-11-15,2.5713142628525705,1.4286857371474295
Hong Kong Football Club JSA,Hong Kong Cricket Club L4,Hong Kong Football Club,6,2024-11-15,1.7545509101820365,2.2454490898179635
i-Mask Advance Squash Club L4,JESSICA Smashin' Mochi,Cornwall Street Squash Centre,6,2024-11-15,1.645129025805161,2.354870974194839
Hong Kong Football Club L4,i-Mask Advance Squash Club L4,Hong Kong Football Club,7,2024-11-22,2.648129625925185,1.351870374074815
JESSICA Smashin' Mochi,Hong Kong Football Club JSA,HK Squash Centre,7,2024-11-22,1.756751350270054,2.243248649729946
Hong Kong Cricket Club L4,JESSICA L4,Hong Kong Cricket Club,7,2024-11-22,1.9535907181436287,2.0464092818563713
JESSICA Smashin' Mochi,JESSICA L4,HK Squash Centre,8,2024-11-29,1.2864572914582917,2.7135427085417083
Hong Kong Football Club L4,Hong Kong Football Club JSA,Hong Kong Football Club,8,2024-11-29,2.014202840568114,1.9857971594318864
Hong Kong Cricket Club L4,Electrify Squash Ladies,Hong Kong Cricket Club,8,2024-11-29,2.503900780156031,1.4960992198439689
Hong Kong Cricket Club L4,JESSICA Smashin' Mochi,Hong Kong Cricket Club,9,2025-01-03,2.6543308661732348,1.3456691338267655
Hong Kong Football Club L4,Electrify Squash Ladies,Hong Kong Football Club,9,2025-01-03,2.1218243648729747,1.8781756351270253
i-Mask Advance Squash Club L4,JESSICA L4,Cornwall Street Squash Centre,9,2025-01-03,0.9845969193838767,3.015403080616123
