Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
United Services Recreation Club M3,Titlows Squash Team,United Services Recreation Club,6,2024-11-07,3.7949589917983597,2.2050410082016403
Old Squash Fellows,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,6,2024-11-07,3.009601920384077,2.990398079615923
Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club,7,2024-11-14,3.7503500700140027,2.2496499299859973
Kowloon Cricket Club M3,Old Squash Fellows,Kowloon Cricket Club,7,2024-11-14,2.3840768153630725,3.6159231846369275
Titlows Squash Team,Hong Kong Football Club M3A,Masters - HK Squash Centre,7,2024-11-14,2.478895779155831,3.521104220844169
Hong Kong Football Club M3B,United Services Recreation Club M3,Hong Kong Football Club,7,2024-11-14,2.980596119223845,3.019403880776155
Hong Kong Cricket Club M3,United Services Recreation Club M3,Hong Kong Cricket Club,8,2024-11-21,2.199839967993599,3.800160032006401
Titlows Squash Team,Old Squash Fellows,Masters - HK Squash Centre,8,2024-11-21,2.613122624524905,3.386877375475095
Kowloon Cricket Club M3,Royal Hong Kong Yacht Club M3,Kowloon Cricket Club,8,2024-11-21,2.2690538107621525,3.7309461892378475
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club,8,2024-11-21,3.0414082816563313,2.9585917183436687
Kowloon Cricket Club M3,Hong Kong Cricket Club M3,Kowloon Cricket Club,9,2024-11-28,2.939387877575515,3.060612122424485
Royal Hong Kong Yacht Club M3,Titlows Squash Team,Royal Hong Kong Yacht Club,9,2024-11-28,3.640728145629126,2.359271854370874
Old Squash Fellows,Hong Kong Football Club M3B,Masters - HK Squash Centre,9,2024-11-28,2.874374874974995,3.125625125025005
Hong Kong Football Club M3A,United Services Recreation Club M3,Hong Kong Football Club,9,2024-11-28,2.9635927185437088,3.0364072814562912
Titlows Squash Team,Hong Kong Cricket Club M3,Masters - HK Squash Centre,10,2025-01-02,3.2070414082816563,2.7929585917183437
Kowloon Cricket Club M3,Hong Kong Football Club M3B,Kowloon Cricket Club,10,2025-01-02,2.217643528705741,3.782356471294259
Royal Hong Kong Yacht Club M3,United Services Recreation Club M3,Royal Hong Kong Yacht Club,10,2025-01-02,2.9091818363672735,3.0908181636327265
Hong Kong Football Club M3A,Old Squash Fellows,Hong Kong Football Club,10,2025-01-02,3.3074614922984598,2.6925385077015402
Hong Kong Cricket Club M3,Old Squash Fellows,Hong Kong Cricket Club,11,2025-01-09,2.518903780756151,3.481096219243849
Hong Kong Football Club M3A,Royal Hong Kong Yacht Club M3,Hong Kong Football Club,11,2025-01-09,3.1494298859771956,2.8505701140228044
United Services Recreation Club M3,Kowloon Cricket Club M3,United Services Recreation Club,11,2025-01-09,4.0256051210242045,1.9743948789757952
Titlows Squash Team,Hong Kong Football Club M3B,Masters - HK Squash Centre,11,2025-01-09,2.455891178235647,3.544108821764353
Hong Kong Football Club M3B,Hong Kong Cricket Club M3,Hong Kong Football Club,12,2025-01-16,3.867373474694939,2.132626525305061
Titlows Squash Team,United Services Recreation Club M3,Masters - HK Squash Centre,12,2025-01-16,2.335867173434687,3.664132826565313
Kowloon Cricket Club M3,Hong Kong Football Club M3A,Kowloon Cricket Club,12,2025-01-16,2.2100420084016803,3.7899579915983197
Royal Hong Kong Yacht Club M3,Old Squash Fellows,Royal Hong Kong Yacht Club,12,2025-01-16,3.263252650530106,2.736747349469894
Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club,13,2025-01-23,2.350470094018804,3.649529905981196
Old Squash Fellows,Kowloon Cricket Club M3,Masters - HK Squash Centre,13,2025-01-23,3.6443288657731547,2.3556711342268453
Hong Kong Football Club M3A,Titlows Squash Team,Hong Kong Football Club,13,2025-01-23,3.7155431086217243,2.2844568913782757
United Services Recreation Club M3,Hong Kong Football Club M3B,United Services Recreation Club,13,2025-01-23,3.2050410082016403,2.7949589917983597
United Services Recreation Club M3,Hong Kong Cricket Club M3,United Services Recreation Club,14,2025-02-13,3.9239847969593917,2.0760152030406083
Titlows Squash Team,Old Squash Fellows,Java Road Sports Centre,14,2025-02-13,2.600120024004801,3.399879975995199
Royal Hong Kong Yacht Club M3,Kowloon Cricket Club M3,Royal Hong Kong Yacht Club,14,2025-02-13,3.8881776355271054,2.1118223644728946
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club,14,2025-02-13,2.975595119023805,3.024404880976195
Hong Kong Cricket Club M3,Kowloon Cricket Club M3,Hong Kong Cricket Club,15,2025-02-20,3.128625725145029,2.871374274854971
Titlows Squash Team,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,15,2025-02-20,2.5389077815563112,3.4610922184436888
Old Squash Fellows,Hong Kong Football Club M3B,Masters - HK Squash Centre,15,2025-02-20,2.8195639127825567,3.1804360872174433
United Services Recreation Club M3,Hong Kong Football Club M3A,United Services Recreation Club,15,2025-02-20,3.2424484896979395,2.7575515103020605
Hong Kong Football Club M3A,Hong Kong Cricket Club M3,Hong Kong Football Club,16,2025-02-27,3.836967393478696,2.163032606521304
Old Squash Fellows,United Services Recreation Club M3,Masters - HK Squash Centre,16,2025-02-27,2.7445489097819564,3.2554510902180436
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3B,Royal Hong Kong Yacht Club,16,2025-02-27,3.0108021604320863,2.9891978395679137
Kowloon Cricket Club M3,Titlows Squash Team,Kowloon Cricket Club,16,2025-02-27,2.809761952390478,3.190238047609522
Hong Kong Cricket Club M3,Titlows Squash Team,Hong Kong Cricket Club,17,2025-03-06,2.8917783556711343,3.1082216443288657
Hong Kong Football Club M3B,Kowloon Cricket Club M3,Hong Kong Football Club,17,2025-03-06,3.948989797959592,2.051010202040408
United Services Recreation Club M3,Royal Hong Kong Yacht Club M3,United Services Recreation Club,17,2025-03-06,3.2710542108421685,2.7289457891578315
Old Squash Fellows,Hong Kong Football Club M3A,Masters - HK Squash Centre,17,2025-03-06,2.8725745149029804,3.1274254850970196
Old Squash Fellows,Hong Kong Cricket Club M3,Masters - HK Squash Centre,18,2025-03-13,3.6375275055011,2.3624724944989
Royal Hong Kong Yacht Club M3,Hong Kong Football Club M3A,Royal Hong Kong Yacht Club,18,2025-03-13,3.0472094418883775,2.9527905581116225
Kowloon Cricket Club M3,United Services Recreation Club M3,Kowloon Cricket Club,18,2025-03-13,2.0968193638727746,3.9031806361272254
Hong Kong Football Club M3B,Titlows Squash Team,Hong Kong Football Club,18,2025-03-13,3.6969393878775754,2.3030606121224246
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club,19,2025-03-20,2.2970594118823766,3.7029405881176234
United Services Recreation Club M3,Titlows Squash Team,United Services Recreation Club,19,2025-03-20,3.851970394078816,2.148029605921184
Hong Kong Football Club M3A,Kowloon Cricket Club M3,Hong Kong Football Club,19,2025-03-20,3.9093818763752752,2.0906181236247248
Old Squash Fellows,Royal Hong Kong Yacht Club M3,Masters - HK Squash Centre,19,2025-03-20,2.941988397679536,3.058011602320464
Royal Hong Kong Yacht Club M3,Hong Kong Cricket Club M3,Royal Hong Kong Yacht Club,20,2025-03-27,3.742748549709942,2.257251450290058
Kowloon Cricket Club M3,Old Squash Fellows,Kowloon Cricket Club,20,2025-03-27,2.4034806961392277,3.5965193038607723
Titlows Squash Team,Hong Kong Football Club M3A,Masters - HK Squash Centre,20,2025-03-27,2.49249849969994,3.50750150030006
Hong Kong Football Club M3B,United Services Recreation Club M3,Hong Kong Football Club,20,2025-03-27,2.98379675935187,3.01620324064813
Hong Kong Cricket Club M3,Hong Kong Football Club M3A,Hong Kong Cricket Club,21,2025-04-03,2.277255451090218,3.722744548909782
United Services Recreation Club M3,Old Squash Fellows,United Services Recreation Club,21,2025-04-03,3.365473094618924,2.634526905381076
Hong Kong Football Club M3B,Royal Hong Kong Yacht Club M3,Hong Kong Football Club,21,2025-04-03,3.149629925985197,2.850370074014803
Titlows Squash Team,Kowloon Cricket Club M3,Masters - HK Squash Centre,21,2025-04-03,3.2750550110022005,2.7249449889977995
