Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Hong Kong Cricket Club 8,United Services Recreation Club 4,Hong Kong Cricket Club,8,2025-01-11,2.852426213106553,3.147573786893447
HKIS Div 15,Sha Tin 7,HK Squash Centre,8,2025-01-11,2.9704852426213106,3.0295147573786894
Squashathon One,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,8,2025-01-11,2.9599799899949977,3.0400200100050023
Royal Hong Kong Yacht Club Div 15,HKIS Div 15,Royal Hong Kong Yacht Club,9,2025-01-18,3.889944972486243,2.110055027513757
Sha Tin 7,Hong Kong Cricket Club 8,Cornwall Street Squash Centre,9,2025-01-18,3.150575287643822,2.849424712356178
United Services Recreation Club 4,Physical Chess 5,United Services Recreation Club,9,2025-01-18,3.135567783891946,2.864432216108054
Physical Chess 5,Sha Tin 7,Cornwall Street Squash Centre,10,2025-01-25,3.174087043521761,2.825912956478239
Hong Kong Cricket Club 8,Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club,10,2025-01-25,2.494247123561781,3.505752876438219
HKIS Div 15,Squashathon One,HK Squash Centre,10,2025-01-25,2.463231615807904,3.536768384192096
Squashathon One,Hong Kong Cricket Club 8,Cornwall Street Squash Centre,11,2025-02-08,3.6913456728364182,2.3086543271635818
Royal Hong Kong Yacht Club Div 15,Physical Chess 5,Royal Hong Kong Yacht Club,11,2025-02-08,3.566783391695848,2.433216608304152
Sha Tin 7,United Services Recreation Club 4,Cornwall Street Squash Centre,11,2025-02-08,2.899449724862431,3.100550275137569
United Services Recreation Club 4,Royal Hong Kong Yacht Club Div 15,United Services Recreation Club,12,2025-02-15,2.641320660330165,3.358679339669835
Physical Chess 5,Squashathon One,Cornwall Street Squash Centre,12,2025-02-15,2.6078039019509753,3.3921960980490247
Hong Kong Cricket Club 8,HKIS Div 15,Hong Kong Cricket Club,12,2025-02-15,3.124062031015508,2.875937968984492
HKIS Div 15,Physical Chess 5,HK Squash Centre,13,2025-02-22,2.889944972486243,3.110055027513757
Squashathon One,United Services Recreation Club 4,Cornwall Street Squash Centre,13,2025-02-22,3.4597298649324664,2.5402701350675336
Royal Hong Kong Yacht Club Div 15,Sha Tin 7,Royal Hong Kong Yacht Club,13,2025-02-22,3.765382691345673,2.234617308654327
Squashathon One,Sha Tin 7,Cornwall Street Squash Centre,14,2025-03-01,3.4987493746873435,2.5012506253126565
HKIS Div 15,United Services Recreation Club 4,HK Squash Centre,14,2025-03-01,2.788894447223612,3.211105552776388
Hong Kong Cricket Club 8,Physical Chess 5,Hong Kong Cricket Club,14,2025-03-01,2.905952976488244,3.094047023511756
United Services Recreation Club 4,Hong Kong Cricket Club 8,United Services Recreation Club,15,2025-03-08,3.3301650825412707,2.6698349174587293
Sha Tin 7,HKIS Div 15,Cornwall Street Squash Centre,15,2025-03-08,3.256128064032016,2.743871935967984
Royal Hong Kong Yacht Club Div 15,Squashathon One,Royal Hong Kong Yacht Club,15,2025-03-08,3.273136568284142,2.726863431715858
HKIS Div 15,Royal Hong Kong Yacht Club Div 15,HK Squash Centre,16,2025-03-15,2.4097048524262132,3.5902951475737868
Hong Kong Cricket Club 8,Sha Tin 7,Hong Kong Cricket Club,16,2025-03-15,3.0375187593796897,2.9624812406203103
Physical Chess 5,United Services Recreation Club 4,Cornwall Street Squash Centre,16,2025-03-15,3.1365682841420712,2.8634317158579288
Sha Tin 7,Physical Chess 5,Cornwall Street Squash Centre,17,2025-03-22,2.84392196098049,3.15607803901951
Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club 8,Royal Hong Kong Yacht Club,17,2025-03-22,3.8054027013506753,2.1945972986493247
Squashathon One,HKIS Div 15,Cornwall Street Squash Centre,17,2025-03-22,3.7273636818409206,2.2726363181590794
Hong Kong Cricket Club 8,Squashathon One,Hong Kong Cricket Club,18,2025-03-29,2.5522761380690344,3.4477238619309656
Physical Chess 5,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,18,2025-03-29,2.6758379189594796,3.3241620810405204
United Services Recreation Club 4,Sha Tin 7,United Services Recreation Club,18,2025-03-29,3.2481240620310157,2.7518759379689843
Royal Hong Kong Yacht Club Div 15,United Services Recreation Club 4,Royal Hong Kong Yacht Club,19,2025-04-05,3.543271635817909,2.456728364182091
Squashathon One,Physical Chess 5,HK Squash Centre,19,2025-04-05,3.4917458729364683,2.5082541270635317
HKIS Div 15,Hong Kong Cricket Club 8,HK Squash Centre,19,2025-04-05,3.0560280140070035,2.9439719859929965
Physical Chess 5,HKIS Div 15,Cornwall Street Squash Centre,20,2025-04-12,3.3091545772886444,2.6908454227113556
United Services Recreation Club 4,Squashathon One,United Services Recreation Club,20,2025-04-12,2.7348674337168584,3.2651325662831416
Sha Tin 7,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,20,2025-04-12,2.4982491245622813,3.5017508754377187
Physical Chess 5,HKIS Div 15,Cornwall Street Squash Centre,21,2025-04-26,3.3581790895447723,2.6418209104552277
United Services Recreation Club 4,Squashathon One,United Services Recreation Club,21,2025-04-26,2.8384192096048024,3.1615807903951976
Sha Tin 7,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,21,2025-04-26,2.51775887943972,3.48224112056028
