Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
TNG 1,22,20.094709470947095,1.9052905290529054,102.28842884288429,100.00000000000001,99.97999799979999,0.020002000200020003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNG 2,22,17.985098509850985,4.014901490149015,89.81378137813782,100.00000000000001,0.020002000200020003,86.34863486348635,13.151315131513153,0.4800480048004801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Hong Kong Yacht Club Div 13,22,15.768576857685769,6.231423142314231,85.83988398839884,99.98999899989998,0.0,13.41134113411341,77.87778777877787,8.7008700870087,0.010001000100010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenfield,22,13.647364736473648,8.352635263526352,80.53265326532653,97.88978897889788,0.0,0.22002200220022,8.97089708970897,88.69886988698869,1.9701970197019703,0.14001400140014,0.0,0.0,0.0,0.0,0.0,0.0
North District Sports Association 2,22,12.612161216121612,9.387838783878388,72.38223822382238,1.69016901690169,0.0,0.0,0.0,1.69016901690169,72.74727472747274,19.501950195019504,6.0606060606060606,0.0,0.0,0.0,0.0,0.0
Arctic Circle,22,11.294629462946295,10.705370537053705,69.10971097109712,0.35003500350035005,0.0,0.0,0.0,0.35003500350035005,14.68146814681468,44.944494449444946,40.02400240024002,0.0,0.0,0.0,0.0,0.0
Squashathon PLZ,22,10.19041904190419,11.80958095809581,68.72307230723072,0.08000800080008001,0.0,0.0,0.0,0.08000800080008001,10.591059105910592,35.41354135413541,53.91539153915391,0.0,0.0,0.0,0.0,0.0
Bravo D13,22,6.947194719471947,15.052805280528053,49.11981198119812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.88868886888689,12.391239123912392,0.7200720072007201,0.0,0.0
Vitality Squash 3,22,8.426742674267427,13.573257325732573,43.872187218721876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77117711771177,57.43574357435743,22.712271227122713,7.000700070007,1.08010801080108
M&M Squash,22,6.267626762676268,15.732373237323733,41.066206620662065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97009700970097,17.391739173917394,41.06410641064107,25.73257325732573,14.84148414841484
Star River 3,22,4.800680068006801,17.199319931993198,40.27962796279628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33003300330033003,10.481048104810482,27.262726272627262,44.214421442144214,17.71177117711771
Physical Chess 4,22,3.9647964796479647,18.035203520352034,37.972397239723975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040004000400040006,2.3002300230023005,8.24082408240824,23.05230523052305,66.36663666366637
