Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Winter Warriors,22,14.040520260130066,7.959479739869935,81.54677338669335,82.54127063531766,26.013006503251624,23.411705852926463,18.509254627313656,14.607303651825912,11.955977988994498,5.302651325662831,0.10005002501250625,0.10005002501250625,0.0,0.0,0.0,0.0
Alpha CUHK,22,14.487243621810906,7.512756378189095,80.59779889944973,78.28914457228615,22.961480740370185,19.85992996498249,18.70935467733867,16.758379189594798,13.306653326663332,7.85392696348174,0.400200100050025,0.1500750375187594,0.0,0.0,0.0,0.0
South China Athletic Association,22,14.132066033016509,7.867933966983491,79.975987993997,74.63731865932967,18.859429714857427,18.90945472736368,17.958979489744873,18.90945472736368,15.557778889444723,8.904452226113056,0.7003501750875438,0.2001000500250125,0.0,0.0,0.0,0.0
North District Sports Association 1,22,15.28864432216108,6.711355677838919,79.85942971485743,76.7383691845923,19.009504752376188,19.35967983991996,20.910455227613806,17.45872936468234,15.107553776888444,7.85392696348174,0.1500750375187594,0.1500750375187594,0.0,0.0,0.0,0.0
Hong Kong Football Club 12A,22,14.817908954477238,7.182091045522761,77.64782391195598,61.980990495247624,11.155577788894448,14.457228614307155,17.358679339669834,19.009504752376188,21.11055527763882,15.007503751875939,1.4507253626813406,0.400200100050025,0.05002501250625312,0.0,0.0,0.0
Sea Bear,22,11.971985992996498,10.028014007003502,72.59229614807404,25.212606303151574,2.001000500250125,3.951975987993997,6.453226613306653,12.8064032016008,21.210605302651324,43.621810905452726,7.103551775887944,2.1010505252626315,0.6003001500750376,0.10005002501250625,0.05002501250625312,0.0
ZOMA,22,8.333166583291646,13.666833416708354,58.62131065532766,0.20010005002501252,0.0,0.0,0.05002501250625312,0.1500750375187594,0.6503251625812907,4.052026013006503,29.914957478739368,25.76288144072036,18.25912956478239,12.006003001500751,8.404202101050526,0.750375187593797
Hong Kong Racketlon Assoication 2,22,8.500250125062532,13.49974987493747,57.350175087543775,0.10005002501250625,0.0,0.0,0.0,0.10005002501250625,0.4502251125562781,3.9019509754877437,23.011505752876438,24.112056028014006,19.809904952476238,16.708354177088545,10.655327663831917,1.250625312656328
Hong Kong Football Club 12B,22,8.396198099049524,13.603801900950476,55.84592296148074,0.2001000500250125,0.0,0.05002501250625312,0.05002501250625312,0.10005002501250625,0.3001500750375188,2.051025512756378,17.358679339669834,20.460230115057527,21.660830415207606,21.260630315157577,13.606803401700851,3.1015507753876936
Star River 2,22,9.21910955477739,12.780890445222612,54.4312156078039,0.10005002501250625,0.0,0.0,0.0,0.10005002501250625,0.3001500750375188,1.150575287643822,13.956978489244623,17.55877938969485,21.11055527763882,22.761380690345174,19.30965482741371,3.7518759379689848
CSD Squash Team,22,7.7398699349674835,14.260130065032516,51.423211605802905,0.0,0.0,0.0,0.0,0.0,0.05002501250625312,0.3001500750375188,5.702851425712856,8.65432716358179,17.058529264632316,24.412206103051524,35.66783391695848,8.15407703851926
Latecomers,22,5.07303651825913,16.92696348174087,41.10805402701351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500750375187594,0.3501750875437719,1.4507253626813406,2.751375687843922,12.30615307653827,82.99149574787393
