Team,Most Games,Most Wins,Highest Win Percentage
7NT,"Hui Adrian Wai Hung, Tang Terry Kin Ming (7)",Tang Terry Kin Ming (4),Tang Terry Kin Ming (57.1%)
BOSS,Ho Wai Ying (9),Luk Raymond Yiu Fai (8),Luk Raymond Yiu Fai (100.0%)
Global Squash 2,Law Hong Ting Kelvin (9),Law Hong Ting Kelvin (9),Law Hong Ting Kelvin (100.0%)
HKCC Tuesday Night Rockers,"Kumar Raj, Griffiths John David (7)",Kumar Raj (6),Kumar Raj (85.7%)
Invader Squash,"Liu Vincent Wing Sang, Leung Freddie Ping Wah (9)",Liu Vincent Wing Sang (3),Liu Vincent Wing Sang (33.3%)
Kinetic 3,Tang Keng Io (7),Chau Hang Henry (6),Chau Hang Henry (100.0%)
Sha Tin 5,"Poon Raymond Wai Man, Tsoi Keith Tsz Fung, Fung Wing Hing (9)",Poon Raymond Wai Man (9),Poon Raymond Wai Man (100.0%)
Star River 1,Leung Kwok Wai (9),Chan Connal Tak Kay (8),Chan Connal Tak Kay (100.0%)
The Squash Club 3,Ngan Wynn (8),Chung Tsam Yee (7),Chung Tsam Yee (100.0%)
Tuen Mun Squash Club,Wong Kwok Hee (7),"Ma Charles Chun Fung, Lau Ho Wing, Wong Kwok Hee (5)",Lau Ho Wing (100.0%)
i-Mask Advance Squash Club 4,Chong Tin Hang (8),Au Wai Keung (5),Au Wai Keung (71.4%)
