Team,Most Games,Most Wins,Highest Win Percentage
Electrify Squash Div 13,Lo Hoi Fung Douglas (9),Lo Hoi Fung Douglas (9),"Lau Chun Kin, Lo Hoi Fung Douglas, Leung Long Hin, Chung Kwok Kui (100.0%)"
Energy Squash Club 1,Chung Hau Yi (8),"Tam Ming Wai, Chung Hau Yi (4)",Tam Ming Wai (80.0%)
Energy Squash Club 2,Wong Ryan (9),Bei Chi Ting (7),Bei Chi Ting (100.0%)
Fusion Squash Club 2,Wang Youying (8),Pun William (6),Pun William (85.7%)
HKIS Div 13,Wang Tristan Xiao Feng (7),"Pong Pak Him Matthias, Wang Tristan Xiao Feng, Lai Tongtong (2)","Pong Pak Him Matthias, Lai Tongtong (40.0%)"
Happy Squash 4,Lau Cheuk Yan (12),Lau Cheuk Yan (7),Lau Cheuk Yan (58.3%)
Kinetic 4,Lee Yin Fung (7),Lee Yin Fung (5),Cheung Hing Kin (80.0%)
Sha Tin 6,Yiu Cheuk Fung (12),Yiu Cheuk Fung (10),Yam Tsz Hei (90.0%)
SocGen Squash,Rambaud- Chanoz Nicolas (11),Lathia Areeb (7),Lathia Areeb (87.5%)
X-Alpha 5,Man Yu Hin (9),Man Yu Hin (7),Man Yu Hin (77.8%)
Yuen Long District Sports Association Limited,Lei Pui Wa (8),"Law Tsz Ham, Lau Ho Long (4)",Law Tsz Ham (66.7%)
i-Mask Advance Squash Club 5,"Chung Shun Yeung, Chen Yat Kuen (8)",Chung Shun Yeung (7),Chung Shun Yeung (87.5%)
