Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 1,100.0,100.0,33.33333333333333,66.66666666666666,66.66666666666666,73.33333333333333,15
Greenfield,66.66666666666666,100.0,80.0,75.0,33.33333333333333,70.99999999999999,23
TNG 2,50.0,100.0,100.0,66.66666666666666,0.0,63.33333333333333,15
Arctic Circle,100.0,75.0,33.33333333333333,33.33333333333333,66.66666666666666,61.66666666666665,17
Royal Hong Kong Yacht Club Div 13,57.14285714285714,57.14285714285714,71.42857142857143,42.857142857142854,71.42857142857143,60.0,35
Vitality Squash 3,20.0,20.0,60.0,80.0,100.0,56.0,22
North District Sports Association 2,25.0,50.0,50.0,75.0,50.0,50.0,20
Squashathon PLZ,20.0,100.0,60.0,25.0,25.0,46.0,23
Bravo D13,100.0,50.0,50.0,0.0,0.0,40.0,8
Physical Chess 4,0.0,50.0,75.0,0.0,50.0,35.0,16
M&M Squash,40.0,20.0,20.0,40.0,20.0,28.0,25
Star River 3,0.0,20.0,80.0,40.0,0.0,28.0,25
