Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Fusion Squash Club 2,100.0,100.0,0.0,0.0,100.0,60.0,5
Sha Tin 6,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,50.0,56.66666666666665,14
HKIS Div 13,100.0,100.0,0.0,0.0,0.0,40.0,2
Energy Squash Club 2,0.0,100.0,50.0,0.0,0.0,30.0,7
i-Mask Advance Squash Club 5,100.0,0.0,50.0,0.0,0.0,30.0,8
X-Alpha 5,100.0,0.0,0.0,33.33333333333333,0.0,26.666666666666664,14
Yuen Long District Sports Association Limited,75.0,25.0,25.0,0.0,0.0,25.0,18
Kinetic 4,50.0,0.0,25.0,33.33333333333333,0.0,21.666666666666664,16
Happy Squash 4,33.33333333333333,50.0,0.0,16.666666666666664,0.0,20.0,30
Energy Squash Club 1,0.0,0.0,0.0,0.0,0.0,0.0,4
SocGen Squash,0.0,0.0,0.0,0.0,0.0,0.0,1
