Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
United Services Recreation Club 2,33.33333333333334,66.66666666666667,66.66666666666667,8.333333333333343,8.333333333333343,36.66666666666667
Kowloon Cricket Club 6A,50.0,-25.0,50.0,50.0,25.0,30.0
Friend Club 3,80.0,30.0,30.0,-10.0,10.0,28.0
Hong Kong Football Club 6B,16.666666666666657,33.33333333333333,33.33333333333333,50.0,0.0,26.666666666666664
Kowloon Cricket Club 6B,0.0,0.0,0.0,25.0,25.0,10.0
Hong Kong Cricket Club 4,8.333333333333329,-16.66666666666667,16.666666666666657,-8.333333333333343,25.0,5.0
Global Squash 1,0.0,-41.66666666666666,-8.333333333333329,25.0,33.33333333333334,1.6666666666666714
Hong Kong Football Club 6C,-16.666666666666657,-33.33333333333333,16.66666666666667,-16.666666666666657,16.66666666666667,-6.666666666666664
Social Squash Team,-16.66666666666667,-16.66666666666667,-25.0,0.0,0.0,-11.666666666666668
Hong Kong Football Club 6A,-100.0,-50.0,-25.0,25.0,75.0,-15.0
