Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 2,100.0,100.0,100.0,33.33333333333333,100.0,86.66666666666666,14
TNG 1,100.0,50.0,100.0,50.0,50.0,70.0,10
Arctic Circle,100.0,50.0,50.0,60.0,80.0,68.0,28
Royal Hong Kong Yacht Club Div 13,50.0,60.0,55.55555555555556,77.77777777777779,87.5,66.16666666666666,46
Greenfield,25.0,75.0,75.0,75.0,33.33333333333333,56.666666666666664,19
North District Sports Association 2,28.57142857142857,42.857142857142854,28.57142857142857,85.71428571428571,75.0,52.14285714285713,32
Squashathon PLZ,100.0,50.0,50.0,25.0,25.0,50.0,20
Physical Chess 4,33.33333333333333,0.0,50.0,50.0,100.0,46.666666666666664,10
Vitality Squash 3,33.33333333333333,11.11111111111111,50.0,20.0,66.66666666666666,36.222222222222214,34
M&M Squash,28.57142857142857,14.285714285714285,28.57142857142857,42.857142857142854,42.857142857142854,31.428571428571427,35
Bravo D13,85.71428571428571,28.57142857142857,0.0,0.0,33.33333333333333,29.52380952380952,30
Star River 3,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0,26.666666666666664,29
