Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Winter Warriors,91.66666666666666,75.0,72.72727272727273,60.0,75.0,74.87878787878788,53
Alpha CUHK,91.66666666666666,75.0,66.66666666666666,83.33333333333334,55.55555555555556,74.44444444444443,57
North District Sports Association 1,45.45454545454545,100.0,54.54545454545454,80.0,60.0,68.0,53
South China Athletic Association,66.66666666666666,58.333333333333336,100.0,40.0,66.66666666666666,66.33333333333333,55
Hong Kong Football Club 12A,16.666666666666664,58.333333333333336,58.333333333333336,81.81818181818183,66.66666666666666,56.363636363636374,56
Sea Bear,25.0,58.333333333333336,72.72727272727273,63.63636363636363,54.54545454545454,54.84848484848485,57
Hong Kong Racketlon Assoication 2,33.33333333333333,25.0,63.63636363636363,20.0,42.857142857142854,36.96536796536797,52
ZOMA,33.33333333333333,33.33333333333333,30.0,50.0,33.33333333333333,36.0,53
CSD Squash Team,83.33333333333334,41.66666666666667,11.11111111111111,33.33333333333333,0.0,33.88888888888889,41
Hong Kong Football Club 12B,8.333333333333332,41.66666666666667,27.27272727272727,40.0,37.5,30.95454545454545,53
Star River 2,33.33333333333333,33.33333333333333,10.0,20.0,40.0,27.333333333333332,54
Latecomers,72.72727272727273,0.0,10.0,10.0,0.0,18.545454545454547,46
