Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 13,80.0,93.33333333333333,86.66666666666667,86.66666666666667,90.9090909090909,87.51515151515153,71
Sha Tin 6,75.0,68.75,56.25,53.333333333333336,75.0,65.66666666666667,71
Fusion Squash Club 2,60.0,66.66666666666666,53.333333333333336,61.53846153846154,72.72727272727273,62.85314685314686,69
SocGen Squash,41.17647058823529,43.75,62.5,64.28571428571429,77.77777777777779,57.89799253034547,72
HKIS Div 13,25.0,41.66666666666667,45.45454545454545,62.5,100.0,54.92424242424242,45
Energy Squash Club 2,14.285714285714285,78.57142857142857,92.85714285714286,50.0,33.33333333333333,53.80952380952381,60
X-Alpha 5,57.14285714285714,30.76923076923077,46.15384615384615,38.46153846153847,40.0,42.505494505494504,63
Energy Squash Club 1,50.0,33.33333333333333,53.333333333333336,41.66666666666667,25.0,40.666666666666664,66
i-Mask Advance Squash Club 5,81.81818181818183,45.45454545454545,27.27272727272727,16.666666666666664,25.0,39.24242424242424,43
Kinetic 4,60.0,13.333333333333334,40.0,28.57142857142857,44.44444444444444,37.269841269841265,68
Happy Squash 4,26.666666666666668,66.66666666666666,6.666666666666667,35.714285714285715,7.6923076923076925,28.68131868131868,72
Yuen Long District Sports Association Limited,28.57142857142857,7.6923076923076925,16.666666666666664,40.0,33.33333333333333,25.25274725274725,58
