,Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
0,1,Ko Sze Chai Cedric,Sky Fighter,26.14,183,7,7,0,18,1.0
1,2,Chu Wai Ho,Hong Kong Football Club 18,25.88,207,8,7,1,18,0.875
2,3,Ramachandran Arjun,Hong Kong Football Club 18,24.5,147,6,6,0,18,1.0
3,4,Tung Liam Chase Zhao Wen,Hong Kong Football Club 18,22.5,135,6,6,0,18,1.0
4,5,Lau Chun Kin,Electrify Squash Div 18,22.29,156,7,7,0,18,1.0
5,6,Chan Chi Ming Keith,Hong Kong Cricket Club 8,22.0,132,6,4,2,18,0.6666666666666666
6,7,Lo Tin Lai,North District Sports Association 3,21.82,240,11,9,2,18,0.8181818181818182
7,8,Kundamal Khiron,Kowloon Cricket Club 18,21.0,210,10,7,3,18,0.7
8,9,Liang Kanghua,Physical Chess 5,21.0,126,6,6,0,18,1.0
9,10,Yiu Cheuk Fung,Sha Tin Squash Rackets Club 7,20.67,186,9,7,2,18,0.7777777777777778
10,11,Li Yi Wei,Vitality Squash 3,20.33,183,9,6,3,18,0.6666666666666666
11,12,Lau Ching Yin,Sha Tin Squash Rackets Club 7,19.91,219,11,7,4,18,0.6363636363636364
12,13,Lo Hoi Fung Douglas,Electrify Squash Div 18,19.29,135,7,3,4,18,0.42857142857142855
13,14,Ebrahim Adnan Azhar,Kowloon Cricket Club 18,19.2,96,5,2,3,18,0.4
14,15,Leung Long Hin,Electrify Squash Div 18,19.0,171,9,8,1,18,0.8888888888888888
15,16,Mok Jun Yan,Ladies Recreation Club Div 18,19.0,171,9,5,4,18,0.5555555555555556
16,17,Leung Yuk Ming,Electrify Squash Div 18,18.0,108,6,6,0,18,1.0
17,18,Mak Kwok Wing,Electrify Squash Div 18,18.0,90,5,3,2,18,0.6
18,18,Wong Ho Tong,Physical Chess 5,18.0,144,8,3,5,18,0.375
19,20,Chen Nicole,Sha Tin Squash Rackets Club 7,17.62,141,8,8,0,18,1.0
20,21,Yeung Samuel Albert,Sky Fighter,17.5,105,6,6,0,18,1.0
21,22,Lee Austin,Hong Kong Cricket Club 8,17.25,207,12,5,7,18,0.4166666666666667
22,23,Leung Wai Ki,North District Sports Association 3,17.18,189,11,5,6,18,0.45454545454545453
23,24,Man Hok Him,Sky Fighter,16.88,135,8,4,4,18,0.5
24,25,Yeung Chi Kit,Electrify Squash Div 18,16.71,117,7,7,0,18,1.0
25,25,Chen Tsun Lung Aiden,Ladies Recreation Club Div 18,16.71,117,7,7,0,18,1.0
26,27,Tsang Chi Hung,North District Sports Association 3,16.33,147,9,6,3,18,0.6666666666666666
27,28,Kundamal Neel,Kowloon Cricket Club 18,16.2,81,5,3,2,18,0.6
28,29,Wong Ho Kai,Physical Chess 5,16.12,129,8,3,5,18,0.375
29,30,Choe Yeda,Ladies Recreation Club Div 18,15.9,159,10,5,5,18,0.5
30,31,Miao Wen Yan,Vitality Squash 3,15.86,111,7,4,3,18,0.5714285714285714
31,32,Yuen Lok Hang,Physical Chess 5,15.6,78,5,4,1,18,0.8
32,33,Chow Maxwell,North District Sports Association 3,15.6,78,5,2,3,18,0.4
33,33,Wang Tristan Xiao Feng,Hong Kong Cricket Club 8,15.6,78,5,2,3,18,0.4
34,35,Chung Kai Sang,Electrify Squash Div 18,15.0,105,7,7,0,18,1.0
35,36,Lam Elliott,Hong Kong Football Club 18,15.0,75,5,3,2,18,0.6
36,37,Tang Ching On,Fusion Squash Club 3,15.0,105,7,2,5,18,0.2857142857142857
37,38,Lien Brandon,Ladies Recreation Club Div 18,14.33,129,9,7,2,18,0.7777777777777778
38,39,Yam Tsz Hei,Sha Tin Squash Rackets Club 7,14.25,114,8,5,3,18,0.625
39,40,Wu Yue Quan,Elite Team,13.88,111,8,1,7,18,0.125
40,41,Ho Peter,Kowloon Cricket Club 18,13.75,165,12,7,5,18,0.5833333333333334
41,42,Kan Lauren,Ladies Recreation Club Div 18,13.67,123,9,5,4,18,0.5555555555555556
42,43,Hemnani Tarun,Kowloon Cricket Club 18,13.5,108,8,7,1,18,0.875
43,44,Lui Paktong Lilian,Fusion Squash Club 3,12.6,63,5,0,5,18,0.0
44,45,Chang Ka Hei,Sha Tin Squash Rackets Club 7,12.5,75,6,4,2,18,0.6666666666666666
45,46,Chan King Tsz,Physical Chess 5,12.5,75,6,3,3,18,0.5
46,47,Verma Kanay,Fusion Squash Club 3,12.0,96,8,3,5,18,0.375
47,48,Li Bing,Elite Team,11.62,93,8,2,6,18,0.25
48,49,Davey Lucas Philip,Hong Kong Cricket Club 8,11.45,126,11,4,7,18,0.36363636363636365
49,50,Long Jake Sebastian,Hong Kong Football Club 18,11.4,57,5,3,2,18,0.6
50,51,Duan Sinong,Vitality Squash 3,11.4,57,5,1,4,18,0.2
51,52,Jin Zi Lin,Vitality Squash 3,10.88,87,8,1,7,18,0.125
52,53,Chan Cheuk Nam,Physical Chess 5,10.5,105,10,5,5,18,0.5
53,54,Cheng Hiu Tung,Fusion Squash Club 3,10.33,93,9,3,6,18,0.3333333333333333
54,55,Chen Peak Julian,Ladies Recreation Club Div 18,10.29,72,7,4,3,18,0.5714285714285714
55,56,Pun Zhe Xin Keira,Hong Kong Football Club 18,10.2,51,5,1,4,18,0.2
56,56,Ma Yung Fu,Elite Team,10.2,51,5,1,4,18,0.2
57,58,Zhang Yiwen,Elite Team,9.9,99,10,3,7,18,0.3
58,59,Wan Damien,Hong Kong Football Club 18,9.5,57,6,3,3,18,0.5
59,60,Cheng King Leung,Vitality Squash 3,9.0,45,5,2,3,18,0.4
60,61,Leung Hing Chung,North District Sports Association 3,8.45,93,11,4,7,18,0.36363636363636365
61,62,Chiu Yuet Yi,Fusion Squash Club 3,7.29,51,7,2,5,18,0.2857142857142857
62,62,Siu Lui Kong,Elite Team,7.29,51,7,2,5,18,0.2857142857142857
63,64,Agrawal Shreyash,Kowloon Cricket Club 18,7.2,36,5,2,3,18,0.4
64,65,Heng Ashton,Hong Kong Cricket Club 8,7.2,36,5,1,4,18,0.2
65,66,Agarwal Priyaan,Hong Kong Cricket Club 8,6.75,54,8,2,6,18,0.25
66,67,Zhan Ting Gong,Vitality Squash 3,6.0,36,6,2,4,18,0.3333333333333333
67,,Lam Ethan Hon Yin,Hong Kong Cricket Club 8,27.0,54,2,2,0,18,1.0
68,,Tsui Wing Fat,Electrify Squash Div 18,24.0,48,2,2,0,18,1.0
69,,Cheung Hong Xiang Alex,Sky Fighter,24.0,24,1,1,0,18,1.0
70,,Hitesh Manoj Panjabi,Kowloon Cricket Club 18,24.0,24,1,1,0,18,1.0
71,,Tsang Ching Yuen,Sha Tin Squash Rackets Club 7,21.0,42,2,1,1,18,0.5
72,,Tam Wai Pui,Sha Tin Squash Rackets Club 7,20.25,81,4,3,1,18,0.75
73,,Lui Parkson Bryan,Fusion Squash Club 3,20.25,81,4,3,1,18,0.75
74,,Ho Yik Siu Andy,Physical Chess 5,19.5,78,4,3,1,18,0.75
75,,Laungani Taran,Kowloon Cricket Club 18,19.5,78,4,2,2,18,0.5
76,,Wong Ka Hei,Sky Fighter,18.75,75,4,3,1,18,0.75
77,,Seik Heng Yik,Electrify Squash Div 18,18.0,72,4,4,0,18,1.0
78,,Tse Tin Po,Electrify Squash Div 18,18.0,36,2,1,1,18,0.5
79,,Wong Yin Cheuk,Sha Tin Squash Rackets Club 7,17.25,69,4,4,0,18,1.0
80,,Wong Yik Man,Sha Tin Squash Rackets Club 7,17.0,51,3,3,0,18,1.0
81,,Chung Kwok Kui,Electrify Squash Div 18,16.5,66,4,3,1,18,0.75
82,,Tam Chi Wui Silas,Hong Kong Football Club 18,15.0,45,3,2,1,18,0.6666666666666666
83,,Yao Tian Xiao Summer,North District Sports Association 3,15.0,30,2,2,0,18,1.0
84,,Cheung Lok Chi,Sha Tin Squash Rackets Club 7,15.0,15,1,1,0,18,1.0
85,,Chiu Kenny Kwun Chark,Physical Chess 5,15.0,15,1,1,0,18,1.0
86,,Szeto Jonas,Fusion Squash Club 3,14.0,42,3,1,2,18,0.3333333333333333
87,,Zheng Tao,Elite Team,13.5,54,4,1,3,18,0.25
88,,Lau Yin Ki,Elite Team,12.0,36,3,2,1,18,0.6666666666666666
89,,Pun William,Hong Kong Football Club 18,12.0,12,1,1,0,18,1.0
90,,Feng Yong Yi,Elite Team,11.25,45,4,3,1,18,0.75
91,,Adjemian Antoine,Ladies Recreation Club Div 18,11.25,45,4,3,1,18,0.75
92,,Ho Lok Hei,Physical Chess 5,11.25,45,4,2,2,18,0.5
93,,Leung Fung Ethan,North District Sports Association 3,10.5,42,4,2,2,18,0.5
94,,Mehta Param Sapan,Kowloon Cricket Club 18,10.5,42,4,1,3,18,0.25
95,,Lee Siu Fung Wallace,Sky Fighter,10.5,21,2,0,2,18,0.0
96,,Tang Long Ching,North District Sports Association 3,10.0,30,3,2,1,18,0.6666666666666666
97,,Lai Nexxus,Sha Tin Squash Rackets Club 7,10.0,30,3,2,1,18,0.6666666666666666
98,,Sam Chi Ho Tristan,Hong Kong Cricket Club 8,9.0,18,2,1,1,18,0.5
99,,Kan Mei Yan Agnes,Sky Fighter,9.0,18,2,1,1,18,0.5
100,,Chan Tsz Pang,Sky Fighter,9.0,9,1,0,1,18,0.0
101,,Shao Bang Jie,Physical Chess 5,7.5,30,4,2,2,18,0.5
102,,Lam Joshua Philip,Kowloon Cricket Club 18,6.0,6,1,0,1,18,0.0
103,,Tam Erin,Hong Kong Cricket Club 8,5.0,15,3,1,2,18,0.3333333333333333
104,,Suen Ka Yue,Sky Fighter,5.0,15,3,0,3,18,0.0
105,,Lo Wing Yan,North District Sports Association 3,3.75,15,4,1,3,18,0.25
106,,Tam Emily,Hong Kong Cricket Club 8,1.5,3,2,0,2,18,0.0
107,,Yeung Tsz Chiu Marco,Sky Fighter,0.0,0,1,0,1,18,0.0
108,,Li Yongda,Elite Team,0.0,0,1,0,1,18,0.0
109,,Lam Johannes Peter,Kowloon Cricket Club 18,0.0,0,1,0,1,18,0.0
110,,Liu Jason Chun Shing,Fusion Squash Club 3,0.0,0,0,0,0,18,
111,,Chen Ho Lung Adwin,Ladies Recreation Club Div 18,0.0,0,0,0,0,18,
112,,Chen Lucas,Hong Kong Cricket Club 8,0.0,0,0,0,0,18,
113,,Hong Aiden Leslie,Hong Kong Football Club 18,0.0,0,0,0,0,18,
114,,Choi Ming Tak,Elite Team,0.0,0,0,0,0,18,
115,,Atkinson Nicholas,Physical Chess 5,0.0,0,0,0,0,18,
116,,Lin Liang Ku,Sky Fighter,0.0,0,0,0,0,18,
117,,Liu Chun Yin Nathan,Fusion Squash Club 3,0.0,0,0,0,0,18,
118,,Park Yongsung John,Ladies Recreation Club Div 18,0.0,0,0,0,0,18,
119,,Wang Youying,Fusion Squash Club 3,0.0,0,0,0,0,18,
120,,Lee Stacey See Rei,Ladies Recreation Club Div 18,0.0,0,0,0,0,18,
121,,Ng Aurelia Kiu Hei,Fusion Squash Club 3,0.0,0,0,0,0,18,
122,,Wong Ying Tung,Kowloon Cricket Club 18,0.0,0,0,0,0,18,
