Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club 19,v,8 Virtues + 1,Hong Kong Football Club,17:00,"4-1(3-0,3-0,3-1,0-3,3-1)",1,07/10/2023
TNG 3,v,Electrify Squash Div 19,Cornwall Street Squash Centre,17:00,"4-1(0-3,3-2,3-1,3-1,CR)",1,07/10/2023
RELAY 2,v,Squashathon 2,Sir Denys Roberts Squash Court,17:00,"4-1(0-3,3-0,3-0,3-1,CR)",1,07/10/2023
Hong Kong International School D19,v,United Services Recreation Club 4,HK Squash Centre,17:00,"5-0(3-0,3-0,3-0,3-2,CR)",1,07/10/2023
SocGen Squash,v,X-Alpha 6,HK Squash Centre,17:00,"5-0(3-0,3-0,3-0,CR,CR)",1,07/10/2023
Sha Tin Squash Rackets Club 8,v,The 8 Virtues,Cornwall Street Squash Centre,17:00,"5-0(WO,WO,WO,WO,WO)",1,07/10/2023
8 Virtues + 1,v,The 8 Virtues,HK Squash Centre,17:00,"4-1(3-0,2-3,3-1,3-0,3-0)",2,14/10/2023
X-Alpha 6,v,Sha Tin Squash Rackets Club 8,Cornwall Street Squash Centre,17:00,"4-1(3-0,2-3,3-0,3-0,3-0)",2,14/10/2023
SocGen Squash,v,United Services Recreation Club 4,HK Squash Centre,17:00,"4-1(3-0,1-3,3-0,3-0,WO)",2,14/10/2023
Squashathon 2,v,Hong Kong International School D19,HK Squash Centre,17:00,"1-4(3-2,1-3,0-3,0-3,0-3)",2,14/10/2023
RELAY 2,v,Electrify Squash Div 19,Sir Denys Roberts Squash Court,17:00,"1-4(0-3,0-3,0-3,0-3,3-0)",2,14/10/2023
Hong Kong Football Club 19,v,TNG 3,Hong Kong Football Club,17:00,"1-4(3-0,1-3,1-3,1-3,0-3)",2,14/10/2023
TNG 3,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00,"5-0(3-0,3-1,3-0,3-0,3-0)",3,21/10/2023
RELAY 2,v,Hong Kong Football Club 19,Sir Denys Roberts Squash Court,17:00,"0-5(0-3,0-3,0-3,0-3,0-3)",3,21/10/2023
Hong Kong International School D19,v,Electrify Squash Div 19,HK Squash Centre,17:00,"0-5(1-3,0-3,0-3,0-3,0-3)",3,21/10/2023
SocGen Squash,v,Squashathon 2,HK Squash Centre,17:00,"5-0(3-1,3-0,3-0,3-0,3-0)",3,21/10/2023
Sha Tin Squash Rackets Club 8,v,United Services Recreation Club 4,Cornwall Street Squash Centre,17:00,"3-2(3-0,3-1,3-0,0-3,0-3)",3,21/10/2023
The 8 Virtues,v,X-Alpha 6,HK Squash Centre,17:00,"1-4(2-3,3-0,2-3,1-3,1-3)",3,21/10/2023
8 Virtues + 1,v,X-Alpha 6,HK Squash Centre,17:00,"1-4(1-3,3-0,1-3,WO,WO)",4,18/11/2023
United Services Recreation Club 4,v,The 8 Virtues,United Services Recreation Club,17:00,"5-0(CR,CR,CR,CR,CR)",4,18/11/2023
Squashathon 2,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,"3-2(1-3,3-2,3-0,0-3,3-0)",4,18/11/2023
Electrify Squash Div 19,v,SocGen Squash,Cornwall Street Squash Centre,17:00,"4-1(1-3,3-0,3-1,3-2,3-0)",4,18/11/2023
Hong Kong International School D19,v,Hong Kong Football Club 19,HK Squash Centre,17:00,"4-1(3-0,0-3,3-0,3-2,WO)",4,18/11/2023
TNG 3,v,RELAY 2,Cornwall Street Squash Centre,17:00,"5-0(3-0,3-0,3-0,3-1,3-0)",4,18/11/2023
RELAY 2,v,8 Virtues + 1,Sir Denys Roberts Squash Court,17:00,"5-0(CR,CR,CR,CR,CR)",5,25/11/2023
Hong Kong International School D19,v,TNG 3,Java Road Sports Centre,17:00,"1-4(0-3,0-3,3-2,0-3,0-3)",5,25/11/2023
SocGen Squash,v,Hong Kong Football Club 19,Cornwall Street Squash Centre,17:00,"3-2(3-0,3-0,0-3,3-1,2-3)",5,25/11/2023
Sha Tin Squash Rackets Club 8,v,Electrify Squash Div 19,Cornwall Street Squash Centre,17:00,"2-3(0-3,2-3,0-3,3-1,3-0)",5,25/11/2023
The 8 Virtues,v,Squashathon 2,Cornwall Street Squash Centre,17:00,"5-0(3-1,3-0,3-0,3-0,3-0)",5,25/11/2023
United Services Recreation Club 4,v,X-Alpha 6,United Services Recreation Club,17:00,"5-0(3-0,3-2,CR,CR,CR)",5,25/11/2023
8 Virtues + 1,v,United Services Recreation Club 4,HK Squash Centre,17:00,"4-1(0-3,3-2,3-2,3-0,3-0)",6,09/12/2023
Squashathon 2,v,X-Alpha 6,HK Squash Centre,17:00,"2-3(1-3,3-1,3-0,0-3,0-3)",6,09/12/2023
Electrify Squash Div 19,v,The 8 Virtues,HK Squash Centre,17:00,"4-1(3-1,3-2,0-3,3-0,3-2)",6,09/12/2023
Hong Kong Football Club 19,v,Sha Tin Squash Rackets Club 8,Hong Kong Football Club,17:00,"3-2(3-1,0-3,3-0,3-0,CR)",6,09/12/2023
TNG 3,v,SocGen Squash,Cornwall Street Squash Centre,17:00,"1-4(0-3,0-3,2-3,3-0,CR)",6,09/12/2023
RELAY 2,v,Hong Kong International School D19,Cornwall Street Squash Centre,17:00,"0-5(0-3,0-3,0-3,0-3,0-3)",6,09/12/2023
Hong Kong International School D19,v,8 Virtues + 1,HK Squash Centre,17:00,"4-1(0-3,CR,CR,CR,CR)",7,16/12/2023
SocGen Squash,v,RELAY 2,HK Squash Centre,17:00,"4-1(3-0,3-0,2-3,3-1,3-0)",7,16/12/2023
Sha Tin Squash Rackets Club 8,v,TNG 3,Cornwall Street Squash Centre,17:00,"1-4(2-3,2-3,3-2,0-3,0-3)",7,16/12/2023
The 8 Virtues,v,Hong Kong Football Club 19,HK Squash Centre,17:00,"1-4(3-0,0-3,CR,CR,CR)",7,16/12/2023
X-Alpha 6,v,Electrify Squash Div 19,Cornwall Street Squash Centre,17:00,"1-4(3-1,0-3,2-3,0-3,CR)",7,16/12/2023
United Services Recreation Club 4,v,Squashathon 2,United Services Recreation Club,17:00,"2-3(0-3,0-3,3-0,0-3,3-0)",7,16/12/2023
8 Virtues + 1,v,Squashathon 2,HK Squash Centre,17:00,"2-3(2-3,0-3,0-3,3-0,3-0)",8,06/01/2024
Electrify Squash Div 19,v,United Services Recreation Club 4,HK Squash Centre,17:00,"5-0(3-0,3-0,3-0,3-0,3-1)",8,06/01/2024
Hong Kong Football Club 19,v,X-Alpha 6,Hong Kong Football Club,17:00,"5-0(3-0,3-0,3-0,3-0,3-0)",8,06/01/2024
TNG 3,v,The 8 Virtues,Cornwall Street Squash Centre,17:00,"3-2(0-3,0-3,3-2,3-1,3-0)",8,06/01/2024
