Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Hong Kong Football Club L3A,v,Hong Kong Football Club L3B,Hong Kong Football Club,19:00,"1-3(0-3,0-3,1-3,3-2)",1,06/10/2023
Hong Kong Football Club L3C,v,The Squash Club Ladies,Hong Kong Football Club,19:00,"3-1(3-0,3-0,0-3,3-1)",1,06/10/2023
Hong Kong Cricket Club Rockettes,v,JESSICA Smashin' Mochi,Hong Kong Cricket Club,19:00,"2-2(3-1,3-2,0-3,0-3)",1,06/10/2023
Physical Chess Ladies,v,[BYE],,,,1,06/10/2023
Hong Kong Football Club L3C,v,Hong Kong Football Club L3B,Hong Kong Football Club,19:00,"1-3(0-3,1-3,3-0,0-3)",2,13/10/2023
The Squash Club Ladies,v,JESSICA Smashin' Mochi,Cornwall Street Squash Centre,19:00,"0-4(0-3,0-3,0-3,0-3)",2,13/10/2023
Hong Kong Cricket Club Rockettes,v,Physical Chess Ladies,Hong Kong Cricket Club,19:00,"3-1(2-3,3-0,3-0,CR)",2,13/10/2023
Hong Kong Football Club L3A,v,[BYE],,,,2,13/10/2023
Hong Kong Football Club L3C,v,Hong Kong Football Club L3A,Hong Kong Football Club,19:00,"2-2(3-0,3-0,1-3,0-3)",3,20/10/2023
Hong Kong Football Club L3B,v,JESSICA Smashin' Mochi,Hong Kong Football Club,19:00,"2-2(3-0,3-0,0-3,0-3)",3,20/10/2023
The Squash Club Ladies,v,Physical Chess Ladies,Cornwall Street Squash Centre,19:00,"1-3(0-3,0-3,0-3,3-0)",3,20/10/2023
Hong Kong Cricket Club Rockettes,v,[BYE],,,,3,20/10/2023
Hong Kong Football Club L3A,v,Hong Kong Cricket Club Rockettes,Hong Kong Football Club,19:00,"3-1(3-0,3-0,3-0,0-3)",4,03/11/2023
Physical Chess Ladies,v,Hong Kong Football Club L3C,Cornwall Street Squash Centre,19:00,"4-0(3-0,3-1,3-1,3-0)",4,03/11/2023
Hong Kong Football Club L3B,v,The Squash Club Ladies,Hong Kong Football Club,19:00,"4-0(3-0,3-0,3-0,3-0)",4,03/11/2023
JESSICA Smashin' Mochi,v,[BYE],,,,4,03/11/2023
