Home Team,Away Team,Venue,Match Week,Date,Avg Simulated Home Points,Avg Simulated Away Points
Kinetic 1,MERCURY,Yuen Long Jockey Club Squash Courts,13,2024-01-26,3.0768,2.9232
MERCURY,Ladies Recreation Club Div 12,HK Squash Centre,14,2024-02-02,3.2152,2.7848
Squashathon Zero,Kinetic 1,Cornwall Street Squash Centre,14,2024-02-02,4.3296,1.6704
Studio Pro,Hong Kong Cricket Club 6,Java Road Sports Centre,14,2024-02-02,2.2726,3.7274
i-Mask Advance Squash Club 3,Sha Tin Squash Rackets Club 3,Cornwall Street Squash Centre,14,2024-02-02,3.1964,2.8036
Sha Tin Squash Rackets Club 3,Hong Kong Cricket Club 6,Pei Ho Street Sports Centre,15,2024-02-23,3.094,2.906
Studio Pro,Kinetic 1,Java Road Sports Centre,15,2024-02-23,3.3044,2.6956
Squashathon Zero,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,15,2024-02-23,4.3258,1.6742
MERCURY,i-Mask Advance Squash Club 3,HK Squash Centre,15,2024-02-23,2.1624,3.8376
MERCURY,Squashathon Zero,HK Squash Centre,16,2024-03-01,2.1892,3.8108
Ladies Recreation Club Div 12,Studio Pro,Ladies Recreation Club,16,2024-03-01,2.7496,3.2504
Kinetic 1,Sha Tin Squash Rackets Club 3,Yuen Long Jockey Club Squash Courts,16,2024-03-01,2.1518,3.8482
i-Mask Advance Squash Club 3,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,16,2024-03-01,3.3278,2.6722
Hong Kong Cricket Club 6,Kinetic 1,Hong Kong Cricket Club,17,2024-03-08,4.133,1.867
Sha Tin Squash Rackets Club 3,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,17,2024-03-08,4.1362,1.8638
Studio Pro,MERCURY,Java Road Sports Centre,17,2024-03-08,3.2822,2.7178
Squashathon Zero,i-Mask Advance Squash Club 3,Pei Ho Street Sports Centre,17,2024-03-08,3.1346,2.8654
Squashathon Zero,Studio Pro,Cornwall Street Squash Centre,18,2024-03-15,4.1382,1.8618
MERCURY,Sha Tin Squash Rackets Club 3,HK Squash Centre,18,2024-03-15,2.2092,3.7908
Ladies Recreation Club Div 12,Hong Kong Cricket Club 6,Ladies Recreation Club,18,2024-03-15,2.1514,3.8486
i-Mask Advance Squash Club 3,Kinetic 1,Cornwall Street Squash Centre,18,2024-03-15,4.3018,1.6982
Kinetic 1,Ladies Recreation Club Div 12,Yuen Long Jockey Club Squash Courts,19,2024-03-22,3.1972,2.8028
Hong Kong Cricket Club 6,MERCURY,Hong Kong Cricket Club,19,2024-03-22,4.0598,1.9402
Sha Tin Squash Rackets Club 3,Squashathon Zero,Cornwall Street Squash Centre,19,2024-03-22,2.8234,3.1766
Studio Pro,i-Mask Advance Squash Club 3,Java Road Sports Centre,19,2024-03-22,2.2304,3.7696
Studio Pro,Sha Tin Squash Rackets Club 3,Java Road Sports Centre,20,2024-04-12,2.422,3.578
Squashathon Zero,Hong Kong Cricket Club 6,Cornwall Street Squash Centre,20,2024-04-12,3.2588,2.7412
MERCURY,Kinetic 1,HK Squash Centre,20,2024-04-12,3.1784,2.8216
i-Mask Advance Squash Club 3,Ladies Recreation Club Div 12,Cornwall Street Squash Centre,20,2024-04-12,4.3294,1.6706
Ladies Recreation Club Div 12,MERCURY,Ladies Recreation Club,21,2024-04-19,3.06,2.94
Kinetic 1,Squashathon Zero,Yuen Long Jockey Club Squash Courts,21,2024-04-19,1.984,4.016
Hong Kong Cricket Club 6,Studio Pro,Hong Kong Cricket Club,21,2024-04-19,3.9824,2.0176
Sha Tin Squash Rackets Club 3,i-Mask Advance Squash Club 3,Cornwall Street Squash Centre,21,2024-04-19,2.793,3.207
