Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Kinetic 3,22,19.113411341134114,2.8865886588658864,102.35923592359237,100.0,82.13821382138214,13.511351135113511,4.35043504350435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sha Tin Squash Rackets Club 6,22,16.994299429942995,5.005700570057005,98.08280828082809,100.0,9.570957095709572,44.604460446044605,45.82458245824583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global Squash 2,22,17.873187318731873,4.1268126812681265,97.53995399539954,99.99999999999999,8.29082908290829,41.88418841884188,49.81498149814981,0.010001000100010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOMA,22,15.636163616361635,6.363836383638364,78.5062506250625,55.37553755375538,0.0,0.0,0.010001000100010001,55.36553655365537,30.123012301230123,13.98139813981398,0.5200520052005201,0.0,0.0,0.0,0.0,0.0
Airporterz,22,12.904790479047904,9.095209520952096,77.6049604960496,33.24332433243325,0.0,0.0,0.0,33.24332433243325,41.78417841784178,23.122312231223123,1.85018501850185,0.0,0.0,0.0,0.0,0.0
Star River 2,22,12.7997799779978,9.2002200220022,75.14601460146014,11.13111311131113,0.0,0.0,0.0,11.13111311131113,26.992699269926995,56.47564756475647,5.4005400540054005,0.0,0.0,0.0,0.0,0.0
Hong Kong Football Club 16,22,11.142314231423143,10.857685768576857,67.46974697469747,0.25002500250025006,0.0,0.0,0.0,0.25002500250025006,1.1001100110011002,6.420642064206421,91.40914091409141,0.8200820082008201,0.0,0.0,0.0,0.0
Winter Warriors,22,9.252325232523251,12.747674767476749,56.90639063906391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200820082008201,97.53975397539753,1.6401640164016402,0.0,0.0,0.0
SQUASHTASTIC 8,22,6.977697769776977,15.022302230223023,46.995299529952995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6401640164016402,96.80968096809681,1.5501550155015502,0.0,0.0
i-Mask Advance Squash Club 6,22,5.447944794479448,16.552055205520553,37.6995699569957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5501550155015502,98.28982898289829,0.16001600160016002,0.0
Latecomers,22,2.5152515251525154,19.484748474847486,25.145314531453145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16001600160016002,97.93979397939793,1.9001900190019003
CSD Squash Team,22,1.3428342834283429,20.657165716571658,18.544454445444543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9001900190019003,98.0998099809981
