Home Team,vs,Away Team,Venue,Time,Result,Avg Simulated Home Points,Avg Simulated Away Points
FWD,v,Kowloon Cricket Club 1A,HK Squash Centre,19:00,,2.29,1.71
Kowloon Cricket Club 1B,v,Hong Kong Football Club 1,Kowloon Cricket Club,19:00,,0.72,3.28
FWD,v,Hong Kong Cricket Club 1,HK Squash Centre,19:00,,2.33,1.67
Kowloon Cricket Club 1B,v,Kowloon Cricket Club 1A,Kowloon Cricket Club,19:00,,1.09,2.91
Hong Kong Cricket Club 1,v,Kowloon Cricket Club 1B,Hong Kong Cricket Club,19:00,,2.89,1.11
Kowloon Cricket Club 1A,v,Hong Kong Football Club 1,Kowloon Cricket Club,19:00,,1.35,2.65
Hong Kong Football Club 1,v,Hong Kong Cricket Club 1,Hong Kong Football Club,19:00,,2.9,1.1
Kowloon Cricket Club 1B,v,FWD,Kowloon Cricket Club,19:00,,1.07,2.93
FWD,v,Hong Kong Football Club 1,HK Squash Centre,19:00,,1.5,2.5
Hong Kong Cricket Club 1,v,Kowloon Cricket Club 1A,Hong Kong Cricket Club,19:00,,2.1,1.9
Kowloon Cricket Club 1A,v,FWD,Kowloon Cricket Club,19:00,,1.96,2.04
Hong Kong Football Club 1,v,Kowloon Cricket Club 1B,Hong Kong Football Club,19:00,,3.38,0.62
