Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Electrify Squash Div 18,33.33333333333333,83.33333333333334,80.0,100.0,100.0,79.33333333333334
Sha Tin Squash Rackets Club 7,66.66666666666666,66.66666666666666,83.33333333333334,100.0,66.66666666666666,76.66666666666666
Hong Kong Football Club 18,83.33333333333334,83.33333333333334,66.66666666666666,50.0,75.0,71.66666666666667
Ladies Recreation Club Div 18,100.0,50.0,50.0,50.0,100.0,70.0
Sky Fighter,80.0,60.0,80.0,33.33333333333333,0.0,50.666666666666664
Kowloon Cricket Club 18,33.33333333333333,50.0,20.0,60.0,50.0,42.666666666666664
North District Sports Association 3,33.33333333333333,83.33333333333334,40.0,25.0,0.0,36.333333333333336
Physical Chess 5,40.0,0.0,50.0,33.33333333333333,33.33333333333333,31.333333333333332
Vitality Squash 3,60.0,20.0,50.0,25.0,0.0,31.0
Hong Kong Cricket Club 8,80.0,0.0,20.0,20.0,25.0,29.0
Fusion Squash Club 3,0.0,50.0,20.0,33.33333333333333,0.0,20.666666666666664
Elite Team,0.0,25.0,0.0,33.33333333333333,33.33333333333333,18.333333333333332
