Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Physical Chess 4,66.66666666666666,83.33333333333334,83.33333333333334,100.0,100.0,86.66666666666667
United Services Recreation Club 3,66.66666666666666,100.0,83.33333333333334,100.0,83.33333333333334,86.66666666666667
Tuen Mun Squash Club,100.0,33.33333333333333,33.33333333333333,83.33333333333334,83.33333333333334,66.66666666666666
Hong Kong Cricket Club Rockers,83.33333333333334,66.66666666666666,50.0,33.33333333333333,50.0,56.666666666666664
The Squash Club 2,33.33333333333333,66.66666666666666,50.0,33.33333333333333,20.0,40.666666666666664
7NT,33.33333333333333,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,39.999999999999986
Hong Kong Football Club 15,33.33333333333333,50.0,33.33333333333333,33.33333333333333,33.33333333333333,36.666666666666664
South China Athletic Association,60.0,20.0,60.0,20.0,20.0,36.0
SKCSC,25.0,50.0,25.0,50.0,25.0,35.0
TNG 2,20.0,40.0,20.0,60.0,20.0,32.0
Sha Tin Squash Rackets Club 5,66.66666666666666,16.666666666666664,16.666666666666664,33.33333333333333,0.0,26.666666666666664
Invader Squash,0.0,16.666666666666664,33.33333333333333,16.666666666666664,16.666666666666664,16.666666666666664
