Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
The 8 Virtues,-28.57142857142857,19.04761904761905,50.000000000000014,80.0,60.0,36.0952380952381
Electrify Squash Div 19,-8.333333333333343,33.33333333333334,20.833333333333343,0.0,50.0,19.16666666666667
SocGen Squash,14.285714285714292,-4.761904761904773,0.0,30.0,50.0,17.904761904761905
Squashathon 2,-2.5,50.0,42.5,-37.5,25.714285714285715,15.642857142857146
8 Virtues + 1,20.0,16.66666666666667,33.33333333333333,-16.666666666666657,16.66666666666667,14.0
United Services Recreation Club 4,17.77777777777778,-12.222222222222221,55.55555555555556,0.0,0.0,12.222222222222218
RELAY 2,0.0,8.57142857142857,8.57142857142857,8.57142857142857,25.714285714285715,10.285714285714286
X-Alpha 6,34.92063492063493,44.44444444444444,33.33333333333333,-12.5,-50.0,10.039682539682545
Hong Kong International School D19,-3.333333333333343,-10.0,33.33333333333334,13.333333333333343,0.0,6.666666666666671
Sha Tin Squash Rackets Club 8,-14.285714285714285,-14.285714285714285,33.33333333333333,0.0,15.0,3.9523809523809526
TNG 3,-22.22222222222223,0.0,33.33333333333334,11.111111111111114,-16.666666666666657,1.1111111111111143
Hong Kong Football Club 19,5.454545454545453,-15.45454545454546,13.636363636363633,10.389610389610397,-22.222222222222214,-1.6392496392496554
